Expression profiles of signalling pathways components encoding genes during adult heart organogenesis,,,,,,,
Symbol,Gene Name,Signal,SAM 5%,Profile,FC,Cluster,Function comments
    dx,deltex,+/-,No,,,,binds to the cytoplasmic domain of Notch that frees Su(H)
    Su(dx),Suppressor of deltex,+,Yes,up­,1.69285353232898,,regulator of the Notch pathway
    fng,fringe,+/-,No,,,,antagonist by targeting extracellular domain of Notch
    Psn,Presenilin,+,Yes,down¯,2.423153464528,4,transmembrane protein involved in proteolysis of Notch
    nct,nicastrin,+,Yes,down¯,2.2235569933863,3,"component of a proteolytic complex, along with Presenilin"
    fred,friend of echinoid,-,No,,,,interacts with the Notch pathway
    E(spl),Enhancer of split,ND,,,,,transcription factor - target of Notch pathway
Toll pathway,,,,,,,
    spz,spatzle,-,No,,,,Toll ligand - secreted
    Tl,Toll,+,Yes,up­,2.1963587664276,8,transmembrane receptor
    Myd88,Myd88,+,Yes,down¯,1.975788165982,3,an adapter protein in the signal transduction pathway
    tub,tube,+/-,No,,,,cofactor with pelle to activate Dorsal 
    pll,pelle,+,No,,,,S/T kinase - signal transduction protein
    cact,cactus,+,Yes,up­,2.58163776665,11,IkappaB homolog - regulates the nuclear transport of Dorsal
    Dif,Dorsal-related immunity factor,+,Yes,up­,6.4975262174792,10,transcription factor - NFkappaB/rel homolog
    dl,dorsal,+,Yes,up­,2.52136441764,9,transcription factor - NFkappaB/rel homolog
Torso pathway,,,,,,,
    trk,trunk,+,Yes,down¯,2.366715513337,4,Torso ligand - secreted
    tor,torso,-,No,,,,transmembrane receptor tyrosine kinase
    cic,capicua,+,Yes,down¯,2.3712749395495387,3,transcription factor
    tsl,torso-like,+/-,No,,,,localized determinant for activation of Torso
PDGF-VEGF pathway,,,,,,,
    Pvf1,PDGF- and VEGF-related factor 1,+,No,,,,ligand for Pvr
    Pvf2,PDGF- and VEGF-related factor 2,+,Yes,up­,3.167474134231,6,ligand for Pvr
    Pvf3,PDGF- and VEGF-related factor 3,-,No,,,,ligand for Pvr
    Pvr,PDGF- and VEGF-receptor related,+,Yes,up­,1.9553616159793017,9,Ig C-2 type domain receptor tyrosine kinase
Wnt pathway,,,,,,,
    wg,wingless,+,No,,,,ligand - Wnt family
    Wnt2,Wnt oncogene analog 2,-,No,,,,ligand - Wnt homolog - male reproductive tract/testis morphogenesis
    Wnt4,Wnt oncogene analog 4,+,Yes,up­,5.968358354843,7,ligand - TGF-B homolog - mesodermal - a Wingless antagonist
    fz,frizzled,+,Yes,up­,2.587625427593405,8,transmembrane receptor for Wingless
    fz2,frizzled 2,+,No,,,,transmembrane receptor for Wingless
    fz3,frizzled 3,-,No,,,,transmembrane receptor - antagonizes Wingless signal
    dally,division abnormally delayed,+,Yes,up­,3.2965461142746,7,membrane bound glypican related proteoglycan
    dlp,dally-like,+,Yes,up­,2.5138752861737976,11,membrane bound glypican related proteoglycan 
    dsh,dishevelled,+,No,,,,a major component in the Wingless pathway
    Axn,Axin,-,No,,,,binds to beta-catenin to inhibit Wnt signaling
    arm,armadillo,+,No,,,,beta catenin homolog -signal transduction protein
    pan,pangolin,-,No,,,,dTCF - transcription factor - acts to transduce the Wingless signal
    pygo,pygopus,+/-,No,,,,acts downstream of or at the level of Pangolin in Wingless signaling
    lgs,legless,+,No,,,,permits ß-catenin to activate Wnt target genes
    nkd,naked cuticle,+,Yes,down¯,1.9222797556822715,3,inducible antagonist for the Wnt signal Wingless
    lin,lines,ND,,,,,acting downstream or in parallel to Armadillo
