MGI ID,Appr Gene (h),PSD95 Complex  ,NR Complex ,mGluR5 Complex,human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Perm 0.01),t-test p value
MGI:894689,YWHAE,YES,YES,NO,54,310,3.827196,4.064137,3.458704,4.104546,4.367838,2.631397,3.7012603333333334,3.783345666666667,1.0585470045538632,,0.892136646810535
MGI:99667,SYT1,YES,YES,NO,328,673,4.054797,4.326958,4.345033,1.980043,2.963714,3.975343,2.9730333333333334,4.242262666666666,2.4103277494634363,,0.0952989494517668
MGI:1888986,DLG3,YES,YES,NO,744,2135,4.411523,4.384548,4.550463,0.7889601,2.044757,1.814271,1.5493293666666668,4.448844666666666,7.4617565964136325,+,0.00173705812505159
MGI:106919,VDAC1,YES,YES,NO,1346,1258,5.311599,5.162248,4.15558,5.707185,5.409111,4.308553,5.141616333333333,4.876475666666667,0.8321175970407605,,0.660110552512642
MGI:106222,CAPZA2,YES,YES,NO,837,114,4.949274,4.76024,4.63936,4.036007,3.816186,4.580084,4.144092333333333,4.782958,1.5571043890682763,,0.0591025013014807
MGI:88115,ATP5A1,YES,YES,NO,2024,690,5.083651,5.416357,4.315711,5.827308,5.4147,5.077425,5.439811,4.938573,0.7065002616650751,,0.269588627879057
MGI:1344351,DLG2,YES,YES,NO,2036,1137,5.03284,5.194759,5.489608,1.951841,3.162906,2.680207,2.5983179999999995,5.239069000000001,6.236562256965465,+,0.002176547043226
MGI:97313,NEFL,YES,YES,NO,1510,2094,5.111158,5.281883,4.844818,5.876079,6.581278,6.899806,6.452387666666667,5.079286333333333,0.3860604491267549,,0.0138645859442414
MGI:1201778,ATP6V0D1,YES,YES,NO,1033,1408,5.239364,4.331047,5.245081,3.976943,3.108322,4.046401,3.710555333333333,4.938497333333333,2.342326193090501,,0.0455639682153545
MGI:97845,RAC1,YES,YES,NO,363,599,5.468799,6.091801,6.275568,5.285605,5.869002,4.294645,5.149750666666667,5.945389333333334,1.735845645746278,,0.200984406910898
MGI:3039785,SYNGAP1,YES,YES,NO,1258,2202,5.821656,6.072604,6.050897,3.027092,3.605129,3.638191,3.4234706666666668,5.981718999999999,5.889921202685731,+,0.000280791780736925
MGI:88257,CAMK2B,YES,YES,NO,1805,2075,5.703164,6.305478,6.153601,3.040091,4.207406,5.651348,4.299614999999999,6.054081,3.374014093782489,,0.0867513743109806
MGI:1277959,DLG4,YES,YES,NO,2175,2127,6.736049,6.888602,6.765161,4.000554,5.419391,4.126036,4.515327,6.796603999999999,4.861080414063537,,0.00746896895796652
MGI:98388,SPTBN1,YES,YES,NO,192,1469,7.392737,7.264791,7.404693,6.224989,7.443051,7.151357,6.939799,7.354073666666667,1.3326285126560873,,0.325443620121235
MGI:88256,CAMK2A,YES,YES,NO,2376,2122,7.839593,8.680104,8.26824,8.025127,8.427262,8.352613,8.268334000000001,8.262645666666666,0.9960649106237742,,0.984331774149905
MGI:1927555,SLC4A4,YES,NO,YES,2414,2353,1.225752,-0.05902549,-0.1749812,-3.461554,-1.934735,-2.262208,-2.5528323333333334,0.33058177,7.378942650900895,,0.0111081978545237
MGI:88108,ATP1B1,YES,NO,YES,2260,422,4.220406,4.275486,3.762732,4.717093,4.139403,5.034939,4.6304783333333335,4.086208,0.6857381381033288,,0.152372357624716
MGI:1195461,SEPT5,YES,NO,YES,2308,2408,7.315691,7.516102,7.625525,-1.425972,1.365139,-0.1381915,-0.06634149999999997,7.485772666666667,187.67779608419588,+,0.000742246730314337
MGI:95775,GNAO1,YES,NO,YES,1468,1242,7.907555,7.039685,7.438702,7.401899,5.607585,7.670363,6.893282333333334,7.461980666666666,1.483184768370177,,0.45877402775831
MGI:107163,PPP3CB,YES,NO,NO,889,131,-4.964731,-2.208051,-3.370678,-1.026882,-0.3674667,0.4346931,-0.31988520000000004,-3.5144866666666665,0.10922678087483821,,0.0241377519905635
MGI:107771,ABR,YES,NO,NO,962,1762,-2.506765,-4.424622,-3.23006,-3.249905,-0.5713356,-0.8293906,-1.5502104,-3.3871490000000004,0.27991513488459346,,0.146092690622547
MGI:87870,ACAT1,YES,NO,NO,961,956,-2.813582,-3.034616,-1.048167,-2.587466,-1.577971,-3.924937,-2.6967913333333335,-2.2987883333333334,1.3176826917754192,,0.689412077987449
MGI:1352745,FSCN1,YES,NO,NO,1180,1682,-2.238876,-2.102003,-1.852819,0.6206763,2.772009,2.383146,1.9252771,-2.0645659999999997,0.06294156670336908,+,0.00402318194487394
MGI:1306775,SUCLA2,YES,NO,NO,1369,1271,-2.144561,-1.595453,-0.564991,-0.6519583,-1.493896,-0.5954653,-0.9137732,-1.4350016666666665,0.6967782680849707,,0.394284444269641
MGI:106341,ATP5O,YES,NO,NO,267,334,-2.244962,-1.156839,-1.441361,-1.61857,0.2685514,-1.10709,-0.8190361999999999,-1.6143873333333332,0.5762029159864936,,0.288816617572046
MGI:1096391,NRXN1,YES,NO,NO,2032,1229,-1.599587,-1.035817,-1.099012,-2.278176,-1.85318,-1.362257,-1.8312043333333332,-1.2448053333333335,1.5014943019563343,,0.139984660089122
MGI:97591,PKM2,YES,NO,NO,1484,2332,-0.8917493,-0.5617802,-1.135171,1.532622,3.706362,4.305889,3.181624333333333,-0.8629001666666666,0.06060058370360163,,0.00923920229135144
MGI:2137679,SFXN3,YES,NO,NO,2315,575,-0.240289,-0.4483413,-1.220198,0.5695412,-0.5600028,-3.389525,-1.1266622,-0.6362761,1.4048207893704983,,0.707059759983245
MGI:95809,GRIA2,YES,NO,NO,1419,2113,4.733923,4.93348,5.390646,2.234548,3.300808,2.734664,2.7566733333333335,5.019349666666667,4.798808802500079,+,0.00341613582026177
MGI:1345635,PCBP1,YES,NO,NO,549,639,-0.4638318,0.5951461,0.232428,2.22634,-0.3123886,2.562495,1.4921488,0.12124743333333332,0.38664960205860077,,0.226149823133849
MGI:95811,GRIA4,YES,NO,NO,2229,740,0.3719454,0.537351,1.152285,-4.956484,-3.319623,-3.386256,-3.887454333333333,0.6871938000000001,23.829026911408622,+,0.00144518313810632
MGI:3044626,BEGAIN,YES,NO,NO,386,1732,0.7084335,1.320498,0.9433533,-2.242869,-1.661812,-3.270857,-2.3918459999999997,0.9907616,10.429568747898639,+,0.00254795697160363
MGI:101757,CFL1,YES,NO,NO,420,2335,1.841787,1.49367,1.059494,4.254629,4.258326,4.584611,4.365855333333333,1.4649836666666667,0.1338907624731348,+,0.000321823306038693
MGI:2138865,DLGAP4,YES,NO,NO,253,2249,1.42475,1.299021,1.402236,-1.970879,-2.19027,-3.877775,-2.679641333333333,1.3753356666666667,16.621480664603794,+,0.00255708835630575
MGI:1350917,RPS3,YES,NO,NO,396,838,2.125182,1.923117,1.031461,0.3691363,0.6901875,0.8262433,0.6285223666666667,1.6932533333333335,2.091779768755941,,0.0424376645345681
MGI:2443181,DLGAP2,YES,NO,NO,1025,1045,1.773022,1.997308,1.976175,-1.388729,-0.6817276,-1.365841,-1.1454325333333333,1.9155016666666669,8.345128125905317,+,0.000227586580394263
MGI:95808,GRIA1,YES,NO,NO,1414,1823,1.779707,1.69338,2.761402,-1.177067,0.3150769,-1.153176,-0.6717220333333334,2.078163,6.726635263038587,,0.0101991713664009
MGI:1915513,PDHB,YES,NO,NO,144,756,1.90065,1.909437,1.762566,1.83015,1.532693,1.324222,1.562355,1.8575510000000002,1.2270516693017954,,0.128304282146031
MGI:98107,RPS14,YES,NO,NO,845,1510,2.237967,1.864318,1.763497,1.765347,1.575753,0.7773508,1.3728169333333333,1.9552606666666668,1.497383469963752,,0.157433897108569
MGI:1196356,IQSEC1,YES,NO,NO,2324,2279,2.107021,2.275449,2.202918,0.7815818,0.4881023,1.514193,0.9279590333333333,2.1951293333333335,2.406890151680262,,0.0148406787115271
MGI:97532,PDHA1,YES,NO,NO,2189,1629,2.456505,1.657923,2.901232,1.106057,1.587076,0.9426483,1.2119271,2.3385533333333335,2.183475333655988,,0.0521820471773274
MGI:109239,KCNAB2,YES,NO,NO,660,1427,2.508346,2.155937,2.428977,1.070979,-0.8278496,0.4206702,0.22126653333333332,2.3644200000000004,4.417265250196105,,0.0194690708300662
MGI:3039563,DLGAP3,YES,NO,NO,1429,847,3.011405,3.33454,3.164161,-0.4263618,0.5529342,0.203852,0.11014146666666669,3.1700353333333333,8.339112588833089,+,0.000529845307354535
MGI:1930705,STX1B,YES,NO,NO,1945,154,3.759654,3.481309,2.880981,4.48913,4.314193,4.43084,4.411387666666667,3.373981333333333,0.4872025760969897,,0.0171772763634517
MGI:3528396,IQSEC2,YES,NO,NO,2370,2273,3.170411,3.405101,3.468722,1.587955,2.078298,2.110437,1.9255633333333335,3.3480779999999997,2.6805232835130672,+,0.00176576501399505
MGI:88437,CNP,YES,NO,NO,1732,1468,3.559895,3.47192,4.185456,6.495397,4.684098,5.914956,5.698150333333333,3.7390903333333334,0.2571959802708492,,0.0277424310242795
MGI:95810,GRIA3,YES,NO,NO,1424,741,3.702497,3.939373,4.333946,1.354179,2.393162,1.923866,1.8904023333333333,3.9919386666666665,4.291661630023676,+,0.00396852317874572
MGI:2137336,BAIAP2,YES,NO,NO,1275,530,5.270328,5.906509,5.59944,3.089248,4.113229,4.721081,3.9745193333333333,5.592092333333333,3.068583837023426,,0.0338729487276707
MGI:1924781,ANKS1B,YES,NO,NO,2042,2205,5.525982,5.941206,5.593402,0.7397298,1.672609,1.687954,1.3667642666666666,5.686863333333334,19.97466035093026,+,0.00021823892221931
MGI:107801,ATP5B,YES,NO,NO,1699,2033,6.831314,6.843092,6.002353,6.347749,7.239498,5.828122,6.471789666666667,6.558919666666667,1.062254901051591,,0.869426582220203
MGI:1277214,SEPT11,YES,NO,NO,2456,1862,7.728243,7.158626,7.479784,7.954783,7.945601,8.179487,8.026623666666666,7.455551,0.6731161298034046,,0.0347801521767184
MGI:88251,CALM1,NO,YES,YES,1097,2283,-2.693874,-3.911212,-1.358625,-0.6567826,0.005612729,-0.3909625,-0.34737745700000006,-2.6545703333333335,0.20205320256217274,,0.0388396608588184
MGI:97843,RAB3A,NO,YES,YES,748,461,-3.633281,-0.9673546,-2.388699,-0.3919861,-4.257463,-2.587886,-2.4124450333333334,-2.3297782000000002,1.0589737538908564,,0.954402270106776
MGI:97613,PLCB1,NO,YES,YES,1436,2028,2.507147,-0.6830403,-1.403929,0.4227108,0.5876037,0.3788686,0.4630610333333333,0.14005923333333326,0.7994048329624791,,0.801656170311201
MGI:1277955,BSN,NO,YES,YES,639,826,0.7894164,1.500254,0.8096573,-1.105625,-0.2075994,-1.062785,-0.7920031333333334,1.0331092333333334,3.543346044973554,,0.00818629969546878
MGI:96721,L1CAM,NO,YES,YES,1807,1818,1.08214,0.7180825,0.9123468,-0.1074091,-0.6055048,0.1998532,-0.17102023333333335,0.9041897666666667,2.107028750606862,,0.0139031615689505
MGI:105313,CIT,NO,YES,YES,2174,1307,1.815309,2.347851,2.451071,-0.2238497,0.6126218,0.5096362,0.2994694333333333,2.204743666666667,3.745800939127972,+,0.00441269986682697
MGI:97175,MAP2,NO,YES,YES,136,2394,2.115596,2.287612,1.898043,0.7755455,1.566727,1.182501,1.1749245000000001,2.100417,1.8993325158543046,,0.0220941706833266
MGI:88105,ATP1A1,NO,YES,YES,223,1387,2.406885,2.564183,2.516064,2.915247,2.194658,2.518545,2.5428166666666665,2.4957106666666666,0.9678759109525636,,0.836182665199698
MGI:109194,YWHAH,NO,YES,YES,1349,1160,2.632252,2.445185,2.311287,3.287303,3.437705,3.734949,3.4866523333333332,2.462908,0.491838190212972,+,0.00314425806185548
MGI:109484,YWHAZ,NO,YES,YES,666,257,3.631193,3.962937,3.344311,4.649916,3.871024,3.65738,4.0594399999999995,3.6461469999999996,0.7509074445955197,,0.303797314026193
MGI:108109,YWHAG,NO,YES,YES,1483,1264,4.576759,4.582912,3.871071,5.423244,4.634743,4.864963,4.974316666666667,4.343580666666667,0.6458468484059456,,0.130780718059004
MGI:107384,DNM1,NO,YES,YES,2384,1993,4.990044,4.8823,5.515359,4.794759,5.969028,5.785076,5.516287666666667,5.129234333333334,0.764689869478748,,0.40253131124467
MGI:1347345,HOMER1,NO,YES,YES,131,1759,5.502222,5.350489,5.964272,3.309615,3.604062,4.25568,3.723119,5.6056610000000004,3.687241728874079,+,0.00492753114147912
MGI:88107,ATP1A3,NO,YES,YES,1691,435,6.036823,5.902931,6.002739,5.519481,5.160562,5.629097,5.43638,5.980830999999999,1.458465237471373,,0.0208062237738837
MGI:97547,PFKL,NO,YES,NO,1790,1744,-5.250988,-4.107213,-5.048592,-4.858064,-0.4014605,-1.48091,-2.2468114999999997,-4.8022643333333335,0.17011086175932244,,0.139373735947849
MGI:98797,TPI1,NO,YES,NO,2062,2026,-2.917446,-0.8916817,-3.082126,0.2924782,-0.3188491,0.1175336,0.030387566666666675,-2.297084566666667,0.19923290792443796,,0.032907936580844
MGI:96763,LDHB,NO,YES,NO,1420,1203,-2.647834,-2.2985,-3.635954,2.521628,1.675591,1.183913,1.793710666666667,-2.8607626666666666,0.03970671079203653,+,0.00114044444951245
MGI:107953,KLC2,NO,YES,NO,677,2256,-1.861024,-2.927866,-2.937468,-1.679091,-0.8792548,-0.8901882,-1.149511333333333,-2.5754526666666666,0.3721764479031792,,0.0326907371663898
MGI:99517,HSPA1B,NO,YES,NO,1712,1666,-1.911336,-2.75847,-1.296688,2.447176,2.933663,2.2091,2.5299796666666663,-1.988831333333333,0.04362167565415256,+,0.000678095897724385
MGI:1923959,ARPC2,NO,YES,NO,179,2196,-0.7752938,-0.4451025,-0.9636253,-0.03165822,-0.5344647,-1.222181,-0.5961013066666666,-0.7280072,0.9126250169224828,,0.743984412972256
MGI:98759,TJP1,NO,YES,NO,1342,2417,-0.6238655,-0.4589605,-0.4678065,-1.461349,-0.6324556,-1.361064,-1.1516228666666668,-0.5168775,1.552663683196388,,0.0759354822172714
MGI:2135609,LIN7A,NO,YES,NO,205,1661,-0.4415241,0.03538509,-0.806436,-0.06740811,-1.221369,-0.6891699,-0.6593156699999999,-0.40419167000000006,1.1934383149456116,,0.570212781802367
MGI:1861437,GSK3B,NO,YES,NO,919,549,-1.171344,0.1615231,0.1506602,0.7503072,-0.1343117,-1.191018,-0.19167416666666667,-0.2863869,0.9364586947287209,,0.900960408681397
MGI:1927243,RALA,NO,YES,NO,1379,513,0.2943404,0.3045865,-0.9969804,1.078569,0.2947668,0.3469103,0.5734153666666667,-0.1326845,0.612974997019765,,0.231350484236589
MGI:97597,PRKCG,NO,YES,NO,252,436,-1.340118,0.5097591,-0.2891432,-0.9722278,1.084363,0.1348927,0.08234263333333333,-0.3731673666666666,0.7292523321579514,,0.599568657175824
MGI:1928375,ARPC3,NO,YES,NO,180,534,-0.04229702,0.008941302,0.1087026,0.01549043,0.7014044,-1.109092,-0.13073239,0.025115627333333335,1.1140762807597067,,0.783184541002844
MGI:2385311,DLAT,NO,YES,NO,670,946,0.2247062,0.5329123,0.7053334,0.07269314,0.7882151,-0.1177189,0.24772978,0.4876506333333333,1.1809278736081494,,0.481557064076917
MGI:1346866,MAP2K1,NO,YES,NO,,,-0.1116335,0.756874,0.6462408,1.503365,1.490721,2.227237,1.740441,0.43049376666666667,0.40333563136871753,,
MGI:105922,RPL13,NO,YES,NO,2075,1094,0.3044809,0.3545036,0.31707,-0.3289763,-1.291148,-2.193989,-1.2713711,0.3253515,3.024554380277568,,0.0413847703304855
MGI:98073,RPL7,NO,YES,NO,955,1381,1.063795,0.8749758,-0.1027134,-1.011603,-0.1536222,-1.454303,-0.8731760666666667,0.6120191333333332,2.7995504912696814,,0.0476002330567234
MGI:104581,GNB4,NO,YES,NO,429,1372,-0.9606093,0.9108635,0.5618061,0.8215042,1.179427,0.500389,0.8337734000000001,0.17068676666666668,0.631525706886115,,0.336111437491351
MGI:107494,MYL12B,NO,YES,NO,1028,50,1.704097,-0.1338776,0.4867636,2.022052,2.491158,1.360301,1.9578369999999998,0.6856610000000001,0.41403481786247714,,0.114276694922172
MGI:1926080,SLC25A12,NO,YES,NO,1879,1348,2.425469,0.5053604,0.553069,1.20359,0.5040518,0.2555604,0.6544007333333334,1.1612994666666667,1.4209922963883166,,0.505053521358066
MGI:1858257,MPP2,NO,YES,NO,1392,546,0.9244005,1.029568,1.288358,-0.8735375,-1.079346,0.3218774,-0.5436687,1.0807755,3.0832336025276934,,0.0225620554554434
MGI:1890773,ACTN4,NO,YES,NO,469,329,1.038401,0.6852365,1.104984,-0.5650125,-0.2594052,-1.197294,-0.6739039,0.9428738333333332,3.0668927866693676,,0.00610757705605874
MGI:1926334,PPP2R1A,NO,YES,NO,2153,1370,1.640611,1.989816,1.759871,0.7982792,1.480681,2.650071,1.6430103999999999,1.7967659999999999,1.1124616478655496,,0.793794528824358
MGI:104872,PPP1CC,NO,YES,NO,198,1169,2.029794,2.073102,2.368735,-0.8029711,-0.100633,0.2077302,-0.23195796666666668,2.157210333333333,5.238552768814678,+,0.00166896859810708
MGI:1349763,DPYSL2,NO,YES,NO,1523,187,2.037399,2.397695,2.454224,5.38965,5.046643,5.552136,5.329476333333333,2.2964393333333333,0.12217008753265858,+,0.000106135566462218
MGI:98869,TUBA1A,NO,YES,NO,1277,97,1.637058,2.533622,2.826578,1.486421,3.626302,-1.308802,1.2679736666666666,2.3324193333333336,2.0913661499754994,,0.509879448728591
MGI:109355,STX1A,NO,YES,NO,126,745,1.957074,2.636103,4.252497,2.08842,2.802175,3.293031,2.7278753333333334,2.948558,1.1652848553950885,,0.787415090091133
MGI:98397,SRC,NO,YES,NO,1767,1059,2.247399,2.735759,2.93646,0.9823092,1.556321,2.471617,1.6700824,2.6398726666666668,1.95855584732724,,0.11318432685062
MGI:88355,CDH2,NO,YES,NO,1540,2234,2.441449,2.989771,1.799551,-0.6870715,1.61653,1.199155,0.7095378333333334,2.410257,3.250629582585021,,0.0969817497397914
MGI:109318,MYL6,NO,YES,NO,1810,1685,2.467968,1.444955,2.285307,3.545237,4.186255,3.831386,3.8542926666666673,2.066076666666667,0.28952984995482217,,0.00808855368705896
MGI:95777,GNAS,NO,YES,NO,2119,366,3.04772,2.150676,2.403814,2.56616,2.141823,2.516186,2.408056333333333,2.53407,1.0912742146591206,,0.694812834378248
MGI:1915517,SLC25A22,NO,YES,NO,114,64,2.701824,2.729496,2.686604,3.682509,2.392008,2.021153,2.6985566666666667,2.705974666666666,1.0051550073483668,,0.988953814019263
MGI:107717,MYH9,NO,YES,NO,621,473,2.744587,2.720199,2.699528,2.649585,3.900677,2.804519,3.118260333333333,2.7214380000000005,0.7595293745442754,,0.370806074667061
MGI:104652,CAPZB,NO,YES,NO,2187,1300,2.751883,3.286478,2.244332,2.979571,3.145836,2.958858,3.0280883333333333,2.7608976666666667,0.8309360377780209,,0.4327378344185
MGI:95639,GAP43,NO,YES,NO,528,641,3.581012,3.403987,2.056053,2.59277,3.490875,2.825386,2.9696769999999995,3.013684,1.0309733210964087,,0.940247219658943
MGI:2671987,SHANK2,NO,YES,NO,2357,1673,3.188446,2.772647,3.376597,-0.4122926,0.4322382,0.08078029,0.03357529666666667,3.1125633333333336,8.450214930378044,+,0.000528374185727185
MGI:109192,ACTN2,NO,YES,NO,628,1755,3.242732,3.196709,3.874151,2.56392,3.207812,3.306401,3.0260443333333336,3.437864,1.330362738615491,,0.266673743708409
MGI:97760,PRKAR2B,NO,YES,NO,2154,1097,3.636789,4.354207,4.367829,2.047625,3.019461,2.317533,2.4615396666666665,4.119608333333333,3.1559375701755807,,0.0117166141509406
MGI:1931838,DBN1,NO,YES,NO,2318,858,4.026104,3.928619,4.858724,-0.9701977,0.7255869,-0.339974,-0.1948616,4.271149,22.100553550430835,+,0.00149295901587259
MGI:97314,NEFM,NO,YES,NO,1378,1531,4.808999,4.530765,4.361862,5.484661,5.755929,6.497842,5.912810666666668,4.567208666666667,0.39348976073941444,,0.0150797847856745
MGI:1930780,MYH10,NO,YES,NO,2303,1636,4.743848,4.958864,5.236401,3.232919,4.854372,4.428314,4.171868333333333,4.979704333333333,1.75058364848962,,0.185489467882476
MGI:88276,CTNNB1,NO,YES,NO,565,561,4.785261,4.620223,4.624851,2.861093,3.915564,2.781628,3.186095,4.676778333333334,2.8102204988471,,0.0156718633505682
MGI:96568,INA,NO,YES,NO,66,873,4.934793,5.20729,5.085657,4.769848,6.072435,6.816489,5.886257333333333,5.075913333333333,0.5702458707970474,,0.250340545272794
MGI:105976,MYO5A,NO,YES,NO,2374,2410,5.261802,5.595531,5.109996,3.934256,4.132514,4.383206,4.149992,5.322443,2.2539429505779727,+,0.00374434301473583
MGI:96925,MBP,NO,YES,NO,1354,1076,5.965774,5.343157,5.177063,7.404297,5.675744,6.001674,6.360571666666666,5.495331333333333,0.5489549508622001,,0.211356448839694
MGI:1201780,ATP6V1A,NO,YES,NO,271,1821,5.414543,5.429766,5.509775,4.518017,4.975917,5.002003,4.831979,5.451361333333334,1.5362173337432008,,0.0179438047920748
MGI:98331,SNAP25,NO,YES,NO,375,556,6.304341,5.788702,5.329381,5.76019,5.707852,6.266277,5.911439666666666,5.807474666666667,0.9304722308263198,,0.770596910601784
MGI:95784,GNB2,NO,YES,NO,124,962,6.250762,6.612027,6.790447,5.51695,5.293348,5.536857,5.449051666666667,6.551078666666666,2.1465607452392597,+,0.00338188492653062
MGI:95781,GNB1,NO,YES,NO,844,394,6.135463,6.803205,7.254198,6.671913,6.624754,6.427226,6.574631,6.730955333333333,1.11444416167124,,0.663657806444615
MGI:109547,DNM2,NO,NO,YES,1279,2233,-3.159197,-1.688673,-0.4408554,-0.4314359,-0.4849078,0.4227494,-0.16453143333333334,-1.7629084666666668,0.33024828318429345,,0.129415103473748
MGI:99846,GDI1,NO,NO,YES,357,1518,-2.369866,-0.3634203,-2.289915,3.486066,3.794214,4.054397,3.7782256666666663,-1.6744004333333333,0.02283473567459013,+,0.00128423434279967
