Table S3. Specific gene transcripts regulated at 7d and 14d post-treatment,,,,,,,,,,,,
,7d,,,,14d,,,,,,,
31,BMX3776,14707.m00118,2.9506884,1.5610515766457682,BMX12573,WB-contig_338,2.6062243,1.3819612521993696,"6330505F04Rik protein, putative",14707.m00118,Bm1_24260,
32,BMX13551,TC3568,2.9525495,1.5619612468555883,BMX13551,TC3568,2.6441073,1.4027807237581866,La domain containing protein,14612.m00130,Bm1_22185,CE08718
33,BMX13034,TC3032,2.9563184,1.5638016583080023,BMX13034,TC3032,2.155559,1.1080620511930475,"40S ribosomal protein S23, putative",14981.m02412,Bm1_46875,CE05747
34,BMX12907,TC2902,3.0418627,1.6049550358699562,BMX12907,TC2902,2.722535,1.444950595866649,"GTP-binding protein SAR1, putative",14972.m07055,Bm1_36820,CE02195
35,bm.00164,BMC00470,3.1382742,1.6499714102084726,bm.00164,BMC00470,3.2992768,1.7221498210174802,"heat shock 70 kDa protein, putative",14977.m04983,Bm1_43675,CE02884
36,BMX5155,14961.m05025,3.150101,1.6553980857119694,BMX5155,14961.m05025,2.722015,1.4446750170131006,hypothetical protein,14961.m05025,Bm1_32670,
37,BMX2112,14039.m00115,3.2232184,1.688501946362671,BMX2112,14039.m00115,3.655596,1.870106639049636,"60S ribosomal protein L3, putative",14039.m00115,Bm1_13895,CE36997
38,BMX12715,WB-contig_537,3.4095306,1.7695731328957311,BMX12715,WB-contig_537,4.2743583,2.0957078476250333,"60S ribosomal protein L5, putative",14961.m04902,Bm1_32050,CE02255
39,bm.00387,BMC01461,3.4225252,1.775061164063507,bm.00408,BMC01549,8.979973,3.166711107235391,"Asparaginyl-tRNA synthetase, cytoplasmic, putative",14971.m02889,Bm1_36235,CE28801
40,BMX11229,BMW00043.108,3.4299245,1.7781768199332484,BMX11229,BMW00043.108,2.6749399,1.4195064777021975,"Asparaginyl-tRNA synthetase, cytoplasmic, putative",14971.m02889,Bm1_36235,CE28801
41,bm.01075,BMC04437,3.5280037,1.8188520739251537,bm.01075,BMC04437,3.6632106,1.873108644765206,"beta-tubulin, identical",14773.m00919,Bm1_25780,CE33987
42,BMX13131,TC3133,3.6210487,1.8564075799557713,BMX13131,TC3133,4.7859507,2.2588055357748984,"heat shock protein 90, putative",14992.m11078,Bm1_51495,CE39622
43,BMX9743,AA588908,3.8627613,1.9496325287357041,BMX9743,AA588908,3.9359536,1.976713213196342,"Translationally controlled tumor protein, putative",14955.m00256,Bm1_31480,CE09656
44,bm.03280,BMC03443,3.8654306,1.9506291359824224,bm.03280,BMC03443,5.6437626,2.4966573034904567,Gln-rich protein [Onchocerca volvulus],BMC03443,,
45,bm.01681,BMC11704,3.8823528,1.9569312256464753,BMX9336,AA109462,2.0310597,1.0222326461471694,"FKBP-type peptidyl-prolyl cis-trans isomerase-59, BmFKBP59",15451.m00017,Bm1_56870,CE05813
46,BMX1282,13390.m00017,3.9251492,1.9727474937518013,BMX1282,13390.m00017,3.59686,1.8467380067803714,hypothetical protein,13390.m00017,Bm1_08470,
47,BMX374,12698.m00330,3.9661977,1.987756592266931,BMX374,12698.m00330,2.6913435,1.4283265359505783,"histone H4, putative",12698.m00330,Bm1_02515,CE16699
48,BMX9543,AA280466,4.0042243,2.001522790216423,BMX9543,AA280466,3.8879805,1.959020983186532,unknown,AA280466,,
49,bm.01123,BMC04968,4.0478196,2.017144994581416,bm.01123,BMC04968,2.666246,1.4148098961834776,NAC domain containing protein,13260.m00100,Bm1_06630,CE33239
50,BMX11347,BMW00248.43,4.0809703,2.0289122111599363,BMX11347,BMW00248.43,3.4270227,1.7769557480487903,"Asparaginyl-tRNA synthetase, cytoplasmic, putative",14971.m02889,Bm1_36235,CE28801
51,BMX12914,TC2909,4.0986247,2.0351398923300117,BMX9325,AA089376,3.126094,1.6443611600697952,"26S proteasome non-ATPase regulatory subunit 7, putative",14971.m02852,Bm1_36060,CE18135
52,bm.01941,BMC02223,4.310169,2.107744437918061,bm.01475,BMC07116,3.2250597,1.6893258669224833,Ubiquitin-conjugating enzyme family protein,14990.m08098,Bm1_49860,CE37602
53,bm.00136,BMC00330,4.327384,2.1134951471787997,bm.03492,BMC12295,4.6867447,2.228586209351722,"Alpha amylase, catalytic domain containing protein",12556.m00067,Bm1_01300,CE15694
54,BMX12705,WB-contig_526,4.409478,2.14060787769089,BMX12705,WB-contig_526,6.4224873,2.68313213230474,"RNA recognition motif containing protein, putative",14954.m01718,Bm1_31255,CE38662
55,BMX466,12791.m00116,4.526055,2.178254116143721,BMX466,12791.m00116,2.2462587,1.1675240914581104,conserved hypothetical protein,12791.m00116,Bm1_03160,
56,bm.03498,BMC12312,4.6136827,2.2059187879660014,bm.03498,BMC12312,2.780346,1.4752644302232842,"60S ribosomal protein L4, putative",14058.m00567,Bm1_14285,CE07669
57,BMX11919,WB-contig_1039,4.8039603,2.2642242286393457,BMX11919,WB-contig_1039,2.9016492,1.5368731127844366,"Casein kinase II, alpha chain, putative",14990.m08092,Bm1_49830,CE31696
58,BMX9213,15533.m00023,4.8068953,2.2651053801731673,BMX9213,15533.m00023,3.3276544,1.7345056073682688,hypothetical protein,15533.m00023,Bm1_57465,
59,BMX12550,WB-contig_300,4.8740325,2.2851158709694412,BMX12550,WB-contig_300,4.1872334,2.0659973373850455,"Asparaginyl-tRNA synthetase, cytoplasmic, putative",14971.m02889,Bm1_36235,CE28801
60,bm.02181,BMC07717,5.4835486,2.455109814854354,bm.02181,BMC07717,7.857883,2.974140686939331,"Endoplasmin precursor, putative",14972.m07646,Bm1_39715,CE39622
61,bm.03284,BMC03611,6.004267,2.585988132689979,bm.03284,BMC03611,4.618407,2.20739531711554,"calreticulin precursor, putative",14677.m00169,Bm1_23560,CE00423
62,bm.03528,BMC12461,6.753743,2.755687281554463,bm.03528,BMC12461,6.760903,2.757215948670009,"calreticulin precursor, putative",14677.m00169,Bm1_23560,CE00423
63,BMX11176,BMB_gene_5.350,6.795596,2.7646000864654185,BMX11176,BMB_gene_5.350,8.09005,3.0161486191607083,"Asparaginyl-tRNA synthetase, cytoplasmic, putative",14971.m02889,Bm1_36235,CE28801
64,BMX10360,AW042023,6.995991,2.8065284333042024,BMX10360,AW042023,5.3072286,2.407958691765064,enolase [Onchocerca volvulus],AW042023,,
65,bm.00336,BMC01154,7.892165,2.980421118528952,bm.00336,BMC01154,2.0567956,1.0403984290021326,Gln-rich protein [Onchocerca volvulus],BMC01154,,
