Supplementary Table 9: Probeset associations with known bone-related GWAS loci,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GWAS SNP,Chr. location,HOb PS,HOb PV (PS),LCL PS,LCL PV (PS),SNP in LD,Chr. location,R2,D',HOb PS,HOb PV (PS),LCL PS,LCL PV (PS),HOb (PV min)
rs1513670,17:39162857,3722682,0.004613,3758767,0.003474,rs9303537*,17:39169534,1,1,3722682,0.004613,3758767,0.003474,0.004613
rs851993,6:152047704,2931701,0.001742,2979720,0.004893,rs851995*,6:152047227,0.7,1,2931692,0.00249,2931862,0.01927,0.001742
rs1938595*,11:58737388,3331839,0.002402,3331853,0.0002067,rs4938914,11:58779244,0.1,1,3332005,0.00468,3331830,0.0323,0.002402
rs7023773*,9:119219407,3222599,0.00225,3222614,0.02803,rs7032028,9:119198404,0.4,1,3222599,0.03985,3222730,0.003226,0.00225
rs7676236,4:102793390,2737656,0.5841,2737655,0.0005847,rs7700191*,4:102808306,0.3,1,2737670,0.02686,2737621,0.08165,0.02686
rs4737736,8:55926327,3098596,0.05895,3098597,0.1982,rs10095485*,8:55908161,0.9,1,3098596,0.01331,3098597,0.1914,0.01331
rs1943638,11:56299394,3331049,0.001393,3373521,0.07475,rs1788998*,11:56344551,0.1,1,3373504,0.008476,3373488,0.08049,0.001393
rs9298511*,8:55910956,3098596,0.01353,3098597,0.1988,rs4737736,8:55926327,0.9,1,3098596,0.05895,3098597,0.1982,0.01353
rs209956,20:52156263,3910431,0.01195,3910393,0.02664,rs158534*,20:52149424,0.2,1,3910431,0.007376,3910440,0.01438,0.007376
rs3118912,13:50009465,3514311,0.05822,3514312,0.0932,rs3116605*,13:50015563,1,1,3514311,0.008332,3514312,0.0932,0.008332
rs3116605*,13:50015563,3514311,0.008332,3514312,0.0932,rs1149826,13:50028932,0.2,1,3489709,0.003551,3489711,0.04853,0.003551
rs6434197,2:187406952,2519252,0.01312,2591302,0.03434,rs10164815*,2:187406128,1,1,2519288,0.006723,2591302,0.03434,0.006723
rs10497621,2:183705688,2590803,0.01715,2518731,0.009923,rs3748884*,2:183732435,0.1,1,2518770,0.002482,2590749,0.01353,0.002482
rs3118916,13:50034809,3514311,0.05367,3514312,0.05098,rs1239687*,13:50061562,0.3,1,3514323,0.0006537,3514311,0.06345,0.0006537
rs4870044*,6:151943102,2979720,0.004695,2931839,0.01569,rs13213582,6:151915589,0.3,1,2931807,0.0137,2931687,0.0002509,0.004695
rs450615,3:41108614,2670587,0.003893,2670583,0.02355,rs10490823*,3:41098739,1,1,2670587,0.002805,2670583,0.02355,0.002805
rs7310081*,12:128631682,3478124,0.001721,3478070,0.001542,rs269157,12:128628185,0.6,1,3478124,0.01594,3478070,0.006797,0.001721
rs6900157*,6:151995820,2931702,0.01074,2931713,0.00747,rs11757393,6:151988211,0.4,1,2931860,0.005307,2931879,0.02421,0.005307
rs7753676,6:151918508,2931718,0.1574,2931784,0.001817,rs4869738*,6:151933844,0.3,1,2931718,0.01635,2931798,0.00851,0.01635
rs1054627,4:88951716,2735076,0.02119,2735265,0.001732,rs1381965*,4:88947928,0.1,1,2735224,0.005608,2735082,0.0002983,0.005608
rs12526857,6:143099240,2928490,0.01011,2928539,0.02847,rs197490*,6:143104496,0.1,1,2977294,0.0216,2977291,0.02855,0.01011
rs1159327,6:152089715,2931702,0.0235,2931737,0.01208,rs12195741*,6:152096067,0.2,1,2931711,0.007263,2931737,0.004919,0.007263
rs7220711*,17:39145491,3758693,0.003198,3758767,0.002039,rs4793017,17:39136506,1,1,3758693,0.003282,3758767,0.002039,0.003198
rs884013,18:44710128,3787680,0.1385,3787691,0.1225,rs12953717*,18:44707927,0.1,1,3807466,0.007099,3787688,0.02967,0.007099
rs1038304*,6:151974868,2931701,0.003129,2931839,0.02524,rs9397433,6:151961125,0.2,1,2931839,0.01322,2931861,0.004316,0.003129
rs2302677,16:52240450,3661100,0.03969,3661107,0.02059,rs1077352*,16:52222838,0.1,1,3661099,0.01383,3661111,0.01733,0.01383
rs6568489,6:108145842,2968065,0.01025,2968074,0.01625,rs1728127*,6:108141100,0.5,1,2968065,0.008349,2968076,0.04054,0.008349
rs6468651,8:88178848,3106018,0.1393,3106020,0.1799,rs6994542*,8:88190816,0.3,1,3105992,0.0044,3106018,0.02225,0.0044
rs2710057,X:86078659,3983234,0.1217,3983266,0.008105,rs5967770*,X:86080644,0.2,1,3983264,0.00947,3983266,0.03105,0.00947
rs289061,12:64964082,3420503,0.05718,3420506,0.01605,rs1816562*,12:64964604,0.3,1,3420523,0.01186,3420523,0.0001169,0.01186
rs12652098,5:126219450,2827178,0.1226,2827204,0.01151,rs3805739*,5:126194090,0.2,1,2827165,0.005546,2827179,0.1758,0.005546
rs3783394,14:102928426,3553838,0.03802,3580770,0.002471,rs2010281*,14:102932075,1,1,3553838,0.03802,3580770,0.002471,0.03802
rs2451255,6:159430804,2982083,0.02335,2982080,0.07633,rs9295089*,6:159383952,0.1,1,2982090,0.0148,2982105,0.005531,0.0148
rs3732477*,3:195544214,2658628,0.01513,2711775,0.003465,rs11711157,3:195543521,1,1,2658628,0.03344,2711775,0.003465,0.01513
rs5951426*,X:22201527,3971473,0.01287,3971520,0.001881,rs5951739,X:22176811,0.1,1,3971427,0.07688,3971520,0.02199,0.01287
rs1549273,5:101576599,2869131,0.01104,2869136,0.02531,rs6866005*,5:101579566,0.1,1,2869103,0.02676,2869142,0.08822,0.01104
rs851982*,6:152066678,2931850,0.04645,2931734,0.01815,rs851980,6:152069648,0.4,1,2931689,0.01122,2931699,0.02532,0.01122
rs7024345,9:99635059,3216963,0.0143,3216953,0.0146,rs10818094*,9:99603649,0.2,1,3216972,0.007344,3216953,0.009082,0.007344
rs6505558,18:10445680,3778777,0.1089,3778775,0.05072,rs8095782*,18:10437547,0.1,1,3778777,0.03275,3778840,0.01222,0.03275
rs2213468,X:86099449,3983304,0.04645,3983266,0.0001186,rs2710058*,X:86117818,0.4,1,3983304,0.0009656,3983305,0.00128,0.0009656
rs10137819*,14:100464694,3552095,0.02393,3552086,0.292,rs2400963,14:100465459,0.3,1,3552347,0.01561,3552346,0.08407,0.01561
rs1443434,9:99657300,3181320,0.02082,3216953,0.06377,rs10984103*,9:99679096,0.9,1,3181320,0.01822,3217182,0.03796,0.01822
rs7720865,5:170918445,2840812,0.009008,2840629,0.005747,rs1030676*,5:170931675,0.2,1,2840812,0.007411,2840790,0.08049,0.007411
rs524410,6:159418118,2982083,0.0164,2982080,0.05217,rs2451255*,6:159430804,0.9,1,2982083,0.02335,2982080,0.07633,0.0164
rs1547960,7:120732453,3021159,0.02881,3021270,0.01003,rs2707521*,7:120727672,1,1,3021159,0.03084,3021270,0.01904,0.02881
rs6796430,3:73950170,2682750,0.119,2682844,0.00295,rs17028298*,3:73950555,0.2,1,2682750,0.06395,2682750,0.009863,0.06395
rs2037957,8:134528403,3116845,0.07693,3154413,0.2124,rs13274799*,8:134523561,0.4,1,3116847,0.04013,3116842,0.006917,0.04013
rs4692511,4:30973757,2722839,0.09682,2722847,0.1639,rs6854032*,4:30976308,0.1,1,2722885,0.01942,2722847,0.06597,0.01942
rs921416,1:103001167,2425823,0.0923,2425839,0.001334,rs12074523*,1:103040347,0.3,1,2425823,0.03629,2425826,0.002755,0.03629
rs1219395,11:121267606,3353041,0.1224,3353033,0.06945,rs1219396*,11:121265814,0.3,1,3352989,0.1004,3352949,0.07053,0.1004
rs405717,4:104691520,2780299,0.0647,2780310,0.02104,rs2588907*,4:104712819,0.7,1,2780299,0.05313,2780310,0.02501,0.05313
rs10003871,4:142479872,2745253,0.1796,2745231,0.2611,rs4267812*,4:142518152,0.2,1,2745231,0.05216,2745245,0.07217,0.05216
rs4507007*,18:57537499,3791019,0.03161,3791002,0.07701,rs6567237,18:57523076,0.1,1,3791025,0.07535,3791022,0.1328,0.03161
rs7521528,1:163004212,2364688,0.0355,2364799,0.04006,rs7521521*,1:163004173,1,1,2364688,0.0355,2364799,0.02591,0.0355
rs7521521,1:163004173,2364688,0.0355,2364799,0.02591,rs7521528*,1:163004212,1,1,2364688,0.0355,2364799,0.04006,0.0355
rs6825793,4:142454943,2745249,0.4953,2745231,0.1157,rs17456275*,4:142492540,0.6,1,2745240,0.06952,2745231,0.01394,0.06952
rs5019445,4:182363116,,,,,rs10003686,4:182359196,0.4,1,,,,,
rs11719399,3:118798496,,,,,rs10511370,3:118808667,0.2,1,,,,,
rs7645105,3:118808141,,,,,rs11719399,3:118798496,1,1,,,,,
rs9375195,6:98669441,,,,,rs1386550,6:98659256,0.2,1,,,,,
rs1933720,6:98404553,,,,,rs4142529,6:98429082,0.1,1,,,,,
rs6735786,2:103136670,,,,,rs4319952,2:103140257,0.2,1,,,,,
rs4075039,3:118645474,,,,,rs9881096,3:118641140,0.4,1,,,,,
* SNP with the most significant p value for the probeset association,,,,,,,,,,,,,,
