,,,,,,
,,,,,,
Table supplementary S4. Genes expressed differently in cell lines compared with normal cervical epitheliuma,,,,,,
GEN SYMBOL,GENE ID,CHROMOSOME,CYTOBAND,GENE START,Score(d),Fold Changeb
STX12,23673,1,1p35.3,27972281,-5.5217414962186,0.400912484741454
LOC653566,653566,1,1p35.3,28294148,-5.47682739586628,0.528756024094125
SNHG3-RCC1,751867,1,1p35.3,28705083,5.79748789143581,2.40187088567244
RCC1,1104,1,1p35.3,28717332,5.79748789143581,2.40187088567244
LAPTM5,7805,1,1p35.2,30977903,-21.9072844583483,0.0744221200976006
COL16A1,1307,1,1p35.2,31890435,-6.36762765673451,0.538595967456746
IQCC,55721,1,1p35.1,32443859,5.90757625428217,1.68739287713898
YARS,8565,1,1p35.1,33013427,5.32314560855881,2.36743180154053
PSMB2,5690,1,1p34.3,35841326,5.67251993033813,2.30923191042394
CLSPN,63967,1,1p34.3,35974405,6.86298988541845,4.23299118211497
MRPS15,64960,1,1p34.3,36693960,7.2220631242006,2.9086735087754
CDCA8,55143,1,1p34.3,37930746,13.6070434281701,6.05632152995643
MANEAL,149175,1,1p34.3,38032361,8.3290505866168,3.87898348448861
UTP11L,51118,1,1p34.3,38250971,6.45723151559684,1.9082734013236
RHBDL2,54933,1,1p34.3,39124066,-6.09776337457371,0.360343376730358
C1orf108,79647,1,1p34.3,39229504,6.04089365163757,1.75444432529634
MACF1,23499,1,1p34.2,39319705,-9.144273923464251,0.3480792394773935
PPT1,5538,1,1p34.2,40310969,7.29185872412217,1.71494110682108
YBX1,4904,1,1p34.2,42920653,6.06169212918656,1.54071551456533
LEPRE1,64175,1,1p34.2,42984633,5.05600423340158,1.90547079995702
TIE1,7075,1,1p34.2,43539251,-6.85489377441425,0.490108616790469
CDC20,991,1,1p34.2,43597213,10.1888364995465,8.38204829173837
KLF17,128209,1,1p34.1,44357109,6.62661307601173,1.98698594360377
KIF2C,11004,1,1p34.1,44978138,13.4790734352558,11.3861289083734
HPDL,84842,1,1p34.1,45565132,7.66769833040997,2.83047660643599
RAD54L,8438,1,1p33,46486004,8.24329250790254,2.97998396284801
CYP4X1,260293,1,1p33,47261827,-9.55153602918262,0.114228625126234
STIL,6491,1,1p33,47488398,9.55237797074781,4.73769962564466
SPATA6,54558,1,1p33,48536865,-8.97386728825751,0.194253011052896
C1orf165,79656,1,1p33,48966129,-6.8859249707285,0.545235423114966
C1orf34,22996,1,1p32.3,51525370,-8.01873880489549,0.380921278031184
EPS15,2060,1,1p32.3,51592523,-6.6699274590001,0.42492547204641
KTI12,112970,1,1p32.3,52270365,5.50077644586881,2.29104879133431
ORC1L,4998,1,1p32.3,52611089,7.57284322676485,5.35499922679856
ZYG11A,440590,1,1p32.3,53080996,16.3004152455736,5.80790276435168
ECHDC2,55268,1,1p32.3,53134492,-9.06567815177433,0.329649637497653
PODN,127435,1,1p32.3,53300473,-6.91141002702546,0.416808826277435
LRP8,7804,1,1p32.3,53483800,7.75620191225829,3.09053642060381
TMEM48,55706,1,1p32.3,54005976,6.10940896595025,2.38641546703801
LRRC42,115353,1,1p32.3,54184625,6.24521802431175,2.52699726003064
PCSK9,255738,1,1p32.3,55277808,11.7150001466787,4.53448838209549
MYSM1,114803,1,1p32.1,58898178,-7.09222320326055,0.275010174527457
JUN,3725,1,1p32.1,59019051,-9.44487405838875,0.181348569042234
FOXD3,27022,1,1p31.3,63561318,6.38174492469438,1.76086088292187
CACHD1,57685,1,1p31.3,64709064,-11.7459440324464,0.150659163916072
AK3L1,205,1,1p31.3,65385820,6.95306221344354,1.71452487229266
LOC645195,645195,1,1p31.3,65486435,7.46987993182807,3.8233836803917
DNAJC6,9829,1,1p31.3,65503018,7.46987993182807,3.8233836803917
LEPR,3953,1,1p31.3,65658906,-6.44915269345323,0.416491444865885
LEPROT,54741,1,1p31.3,65658907,-6.44915269345323,0.416491444865885
SGIP1,84251,1,1p31.3,66772413,-7.98949969901137,0.327352548712551
DEPDC1,55635,1,1p31.2,68713526,6.82167645699013,7.34680058876402
HHLA3,11147,1,1p31.1,70593081,5.06448765444854,2.48660976509317
CTH,1491,1,1p31.1,70649543,9.79969690292425,5.8716062190365
NEGR1,257194,1,1p31.1,71641213,-5.84436665057135,0.542140747647784
FPGT,8790,1,1p31.1,74436514,-5.9966915912108,0.298644871019094
TNNI3K,51086,1,1p31.1,74473673,-5.9966915912108,0.298644871019094
GIPC2,54810,1,1p31.1,78284177,-11.0948192277769,0.298437810330087
IFI44L,10964,1,1p31.1,78858741,-6.43470724249,0.172432329840228
IFI44,10561,1,1p31.1,78888104,-10.6372833149299,0.16123458963241
ELTD1,64123,1,1p31.1,79128037,-23.0210534292183,0.061003444546407
LPHN2,23266,1,1p31.1,82038670,-19.083085380922,0.0494246593711927
MCOLN3,55283,1,1p22.3,85256353,-5.56394575565553,0.257068670194252
CLCA2,9635,1,1p22.3,86662413,-5.83595619536949,0.0407658535731293
CLCA4,22802,1,1p22.3,86785347,-7.290565706429,0.0229863620705727
HS2ST1,9653,1,1p22.3,87152950,-5.37143208491717,0.377934335724917
LOC339524,339524,1,1p22.3,87368260,-5.37143208491717,0.377934335724917
GBP3,2635,1,1p22.2,89244948,-8.55159416973772,0.177466975139437
GBP1,2633,1,1p22.2,89290593,-8.55159416973772,0.177466975139437
GBP4,115361,1,1p22.2,89420044,-10.0547648222399,0.172229633912714
GBP5,115362,1,1p22.2,89498853,-8.00537768907315,0.287311577375801
GBP6,163351,1,1p22.2,89602024,-7.54460033335991,0.0300686814741449
TGFBR3,7049,1,1p22.2,91920575,-6.40533729895344,0.265480223680505
BCAR3,8412,1,1p22.1,93799936,7.03676561980824,3.1890615300107
GCLM,2730,1,1p22.1,94125178,6.27565865084037,2.49376698349521
PTBP2,58155,1,1p21.3,96959966,-5.70170131675435,0.378351048946721
DPYD,1806,1,1p21.3,97315887,-6.4934517086552,0.371347906461171
FRRS1,391059,1,1p21.2,99946847,-6.88286192630222,0.351057636619978
VCAM1,7412,1,1p21.2,100957885,-7.33545785785334,0.177181099076866
RNPC3,55599,1,1p21.1,103893839,-6.9800717455696955,0.2588383003301945
AMY2B,280,1,1p21.1,103898845,-8.79397229085763,0.09996755572430767
AMY2A,279,1,1p21.1,103961522,-8.97293949987138,0.06661331712826309
AMY1A,276,1,1p21.1,103999664,-8.97293949987138,0.06661331712826309
AMY1B,277,1,1p21.1,104031564,-8.972939499871382,0.06661331712826309
AMY1C,278,1,1p21.1,104093964,-8.97293949987138,0.06661331712826309
C1orf119,56900,1,1p13.3,109434926,-5.53889604677738,0.53884585535213
PSRC1,84722,1,1p13.3,109623701,5.55825140618006,2.64264793066225
AMPD2,271,1,1p13.3,109963982,7.25452778045744,2.37837257596796
GSTM4,2948,1,1p13.3,110000226,-8.39440206284504,0.272335567194067
GSTM2,2946,1,1p13.3,110012214,-8.39440206284504,0.272335567194067
GSTM5,2949,1,1p13.3,110056388,-12.711954336237,0.101938709522007
RBM15,64783,1,1p13.3,110683468,5.14944300666178,1.76861312446135
SLC16A4,9122,1,1p13.3,110707028,-8.58406788186036,0.23007761802906
KCNA3,3738,1,1p13.3,111015833,-7.52563470449494,0.232430967273822
CD53,963,1,1p13.3,111215344,-14.3041348796779,0.0763236230156679
C1orf162,128346,1,1p13.2,111818127,-7.95742882134681,0.38901291740537
LOC128322,128322,1,1p13.2,113092240,7.46923859048815,2.4122031287783
SLC16A1,6566,1,1p13.2,113255992,8.40448453377251,4.79006018642495
PTPN22,26191,1,1p13.2,114157960,-7.33604173228011,0.302424645000541
DCLRE1B,64858,1,1p13.2,114249561,6.92434746393268,2.98028672156733
OLFML3,56944,1,1p13.2,114323553,-10.8409072592504,0.180937797042792
DENND2C,163259,1,1p13.2,114928719,5.48283744121421,1.8829747446865
CD2,914,1,1p13.1,117098609,-8.64854694659151,0.276152989398229
SPAG17,200162,1,1p12,118297811,-7.20344590353065,0.337092495915895
NOTCH2,4853,1,1p12,120255699,-5.55445677718794,0.512908309727226
FAM72B,653820,1,1p12,120640528,6.7552464517894375,5.272241611754115
FCGR1B,2210,1,1p11.2,120728657,-7.162524184490574,0.39098621588988364
LOC644591,644591,1,1q21.1,142555943,6.604647798545674,1.5699822409601767
FAM72D,728833,1,1q21.1,142617325,6.7552464517894375,5.272241611754115
PDE4DIP,9659,1,1q21.1,143562784,-9.3591942642992,0.432965382054641
NOTCH2NL,388677,1,1q21.1,143920468,-5.55445677718794,0.512908309727226
TXNIP,10628,1,1q21.1,144149939,-6.07697850330226,0.176821159678945
ANKRD34A,284615,1,1q21.1,144181865,7.20478936375763,1.86691364947015
ANKRD35,148741,1,1q21.1,144260566,-5.71723371659766,0.243447228792581
PPIAL4,164022,1,1q21.1,146421384,6.604647798545673,1.5699822409601767
NBPF14,25832,1,1q21.1,146470266,-5.55445677718794,0.512908309727226
LOC645166,645166,1,1q21.1,147194916,-8.7796900355845,0.400812053491392
LOC100132417,100132417,1,1q21.1,147635924,-7.162524184490574,0.39098621588988364
FCGR1A,2209,1,1q21.2,148020912,-7.162524184490574,0.39098621588988364
HIST2H3D,653604,1,1q21.2,148051450,5.44612465710699,3.15151912261958
HIST2H3C,126961,1,1q21.2,148078883,5.44612465710699,3.15151912261958
HIST2H2AA3,8337,1,1q21.2,148080409,5.53476550546982,2.86562865074004
HIST2H2BC,337873,1,1q21.2,148088383,7.1051494268453,2.28605460864423
HIST2H2AA4,723790,1,1q21.2,148089252,5.53476550546982,2.86562865074004
HIST2H3A,333932,1,1q21.2,148090805,5.44612465710699,3.15151912261958
HIST2H2BE,8349,1,1q21.2,148122634,7.1051494268453,2.28605460864423
HIST2H2AC,8338,1,1q21.2,148125149,5.53476550546982,2.86562865074004
SF3B4,10262,1,1q21.2,148161835,5.17484262611318,1.88284945170619
C1orf54,79630,1,1q21.2,148511822,-8.83668399764602,0.40344258609717
ECM1,1893,1,1q21.2,148747207,-5.73556416399814,0.181563209335954
CTSS,1520,1,1q21.2,148969175,-13.3676913323277,0.10996771354788
CTSK,1513,1,1q21.2,149035311,-27.4723615073403,0.0235159191535132
LASS2,29956,1,1q21.2,149204273,5.14671793900925,1.87106492037806
C1orf56,54964,1,1q21.2,149286883,6.0485763130166,1.6072550495974
PIP5K1A,8394,1,1q21.2,149437696,11.5612408949481,2.92728693473678
PI4KB,5298,1,1q21.2,149531037,6.13536289822973,1.61168412479595
RFX5,5993,1,1q21.2,149579740,9.18561381626016,2.35980701910847
MRPL9,65005,1,1q21.3,149998747,5.86567260549864,2.34543838251627
OAZ3,51686,1,1q21.3,150005755,5.86567260549864,2.34543838251627
CRNN,49860,1,1q21.3,150648343,-9.52885531922694,0.028885957949182
CRCT1,54544,1,1q21.3,150753602,-7.762115566466,0.0675347628550936
LCE3D,84648,1,1q21.3,150818484,-6.06372312912993,0.145544276971744
SPRR1A,6698,1,1q21.3,151223181,-10.4619479246969,0.0267242051654812
SPRR3,6707,1,1q21.3,151240847,-15.4977806361577,0.0121810002549057
SPRR1B,6699,1,1q21.3,151270303,-9.75700319656615,0.0470036776364286
SPRR2D,6703,1,1q21.3,151278825,-6.98789390194158,0.258647840254497
SPRR2A,6700,1,1q21.3,151295220,-13.3817960008436,0.00986816383491873
SPRR2B,6701,1,1q21.3,151309341,-10.18484495139259,0.13425800204470786
SPRR2E,6704,1,1q21.3,151332235,-5.58713515925407,0.098610503474404
S100A9,6280,1,1q21.3,151596954,-8.46443695711855,0.0388867937920809
S100A12,6283,1,1q21.3,151612808,-5.37373770613412,0.286937225124263
S100A8,6279,1,1q21.3,151629132,-16.618568401394,0.00652769319431518
S100A14,57402,1,1q21.3,151853355,-8.17427914323224,0.0585689713460298
ILF2,3608,1,1q21.3,151901138,5.86452378593312,1.8905834093498
GATAD2B,57459,1,1q21.3,152043825,6.10122008002392,1.76459202107767
SLC39A1,27173,1,1q21.3,152198212,10.4419282560871,2.92014083441506
UBE2Q1,55585,1,1q21.3,152787675,9.16857913939091,1.81776951430513
ADAR,103,1,1q21.3,152821157,5.25203867594694,1.56916545850687
EFNA1,1942,1,1q22,153366973,7.00701178799721,3.28178046606606
SYT11,23208,1,1q22,154095924,-6.47002150968562,0.337974549554273
SNORA42,677823,1,1q22,154156324,-9.81152736315508,0.113487369673479
ARHGEF2,9181,1,1q22,154183269,5.28975337251989,1.99638626498569
MAPBPIP,28956,1,1q22,154291229,5.96775258351951,1.74043881848186
RAB25,57111,1,1q22,154297590,-6.16657967908458,0.0746892091938806
SEMA4A,64218,1,1q22,154390012,-6.07362905725151,0.485331352520365
SLC25A44,9673,1,1q22,154430523,5.2226724413731,1.92534875866321
SMG5,23381,1,1q22,154485639,5.36989430575808,1.73374409237848
IQGAP3,128239,1,1q22,154761821,10.7808244919062,5.92364992651347
NES,10763,1,1q23.1,154905179,-5.61776309968841,0.598719438861821
HDGF,3068,1,1q23.1,154978526,8.81506879604676,2.86837443943396
PRCC,5546,1,1q23.1,155003898,7.19164508164457,2.58003353303353
PEAR1,375033,1,1q23.1,155130147,-5.67898616232533,0.585322475977108
MNDA,4332,1,1q23.1,157067792,-6.09043046777736,0.527212975702693
DARC,2532,1,1q23.2,157441134,-5.89425242210304,0.463298553561491
SLAMF6,114836,1,1q23.2,158721444,-6.3625565908057,0.341795940330224
CD84,8832,1,1q23.3,158782419,-8.33835295232264,0.362247762380063
CD48,962,1,1q23.3,158915160,-8.38083973992314,0.214466831619155
SLAMF7,57823,1,1q23.3,158975701,-6.43845039555227,0.19916655381143
PVRL4,81607,1,1q23.3,159308120,-6.07183793987645,0.315697501937563
FCER1G,2207,1,1q23.3,159451711,-13.2770922355855,0.238738230456449
FCGR2A,2212,1,1q23.3,159741844,-10.382602557375826,0.204571596855936
FCGR3A,2214,1,1q23.3,159778173,-5.801981092188165,0.4524530608032105
FCGR2C,9103,1,1q23.3,159817762,-10.8580050760695,0.138364083268436
FCGR3B,2215,1,1q23.3,159859610,-6.14415853624278,0.384656661946269
FCGR2B,2213,1,1q23.3,159899564,-8.69813374959886,0.27528303545101
DDR2,4921,1,1q23.3,160868852,-8.276295639438585,0.1232523674877295
RGS5,8490,1,1q23.3,161378716,-17.4539795584863,0.028736800086838
NUF2,83540,1,1q23.3,161558347,5.71982701457539,5.79156969642877
PBX1,5087,1,1q23.3,162795561,-6.35103378143882,0.258942755223458
UCK2,7371,1,1q24.1,164063514,5.60204741389828,2.97515802716249
GPR161,23432,1,1q24.2,166320621,5.36713751012813,1.67239283392072
DPT,1805,1,1q24.2,166931330,-7.94368069690204,0.180959589476068
SELP,6403,1,1q24.2,167824711,-17.1041178504848,0.236277056590954
SELE,6401,1,1q24.2,167958406,-7.70387536660206,0.402195310859008
PRRX1,5396,1,1q24.2,168899937,-22.291612489957,0.0548081633400368
FMO2,2327,1,1q24.3,169421012,-6.29744434609785,0.0967752294511494
FMO4,2329,1,1q24.3,169550110,-9.17166763000293,0.370028363699747
DNM3,26052,1,1q24.3,170077261,-9.40726983381046,0.390992647468155
MIRN199A2,406977,1,1q24.3,170380297,-5.86508825780841,0.52261501026362
CENPL,91687,1,1q25.1,172035628,9.43133544153175,3.20266759091752
LOC730167,730167,1,1q25.2,174852027,11.4995410405987,4.8478478932926
SEC16B,89866,1,1q25.2,176164865,-6.48892472248607,0.550563427344566
LOC730102,730102,1,1q25.2,176243839,-6.48892472248607,0.550563427344566
ABL2,27,1,1q25.2,177335085,7.03959130859803,2.44741982606607
IER5,51278,1,1q25.3,179324261,5.23037482254778,2.66435825534674
LOC730144,730144,1,1q25.3,180571116,5.7843852905821596,2.54574535437766
RNASEL,6041,1,1q25.3,180809395,-11.2698601193759,0.276249514348046
C1orf26,54823,1,1q25.3,183392815,-6.42240297717108,0.409709324782512
HMCN1,83872,1,1q25.3,183970306,-10.8216124769064,0.192514368690238
RGS18,64407,1,1q31.2,190394215,-5.39645455763261,0.611574955443575
RGS1,5996,1,1q31.2,190811480,-13.1719283997877,0.0626684280869969
RGS13,6003,1,1q31.2,190871905,-7.47691644183207,0.343911846330256
PTPRC,5788,1,1q31.3,196874760,-11.7741698431888,0.0633397536587636
NR5A2,2494,1,1q32.1,198263393,-7.7226491564978,0.437861274963364
ZNF281,23528,1,1q32.1,198642043,5.54449829033545,1.60106962826996
KIF14,9928,1,1q32.1,198787930,6.16520157919317,6.28167934078787
PHLDA3,23612,1,1q32.1,199701245,6.08530041049594,1.85235615819637
IPO9,55705,1,1q32.1,200064911,5.50914654531936,2.0823528488793
LMOD1,25802,1,1q32.1,200132207,-11.3074765931099,0.276792690477877
RNPEP,6051,1,1q32.1,200218389,10.8627425107152,2.1711496457834
UBE2T,29089,1,1q32.1,200567408,11.8977739324633,8.02246097547561
ADIPOR1,51094,1,1q32.1,201176576,6.74286878589371,1.86683344191278
TMEM183A,92703,1,1q32.1,201243159,6.44053993397859,1.98408749828753
BTG2,7832,1,1q32.1,201541287,-11.0261051553695,0.248920286450857
FMOD,2331,1,1q32.1,201576375,-16.0287115645168,0.102726887935302
PRELP,5549,1,1q32.1,201711506,-11.8941247602647,0.208924146895784
PPP1R15B,84919,1,1q32.1,202639143,11.8159389544868,3.97932100464961
LRRN2,10446,1,1q32.1,202852924,6.02176120412154,1.8631394808979
SLC41A1,254428,1,1q32.1,204024844,7.41867434289706,2.79506745326984
FAM72A,729533,1,1q32.1,204299717,6.7552464517894375,5.272241611754115
C1orf186,440712,1,1q32.1,204405495,-5.71476668281673,0.291465473605028
PIGR,5284,1,1q32.1,205168495,-5.51420240487131,0.0472441049471046
MIRN29C,407026,1,1q32.2,206041819,-6.72543874128425,0.345509555703174
MIRN29B2,407025,1,1q32.2,206042410,-5.57317355583243,0.378134162371187
CD34,947,1,1q32.2,206126506,-9.68423592725942,0.153722698954335
LAMB3,3914,1,1q32.2,207854838,5.62622397504292,2.50762499761298
C1orf107,27042,1,1q32.2,208067956,6.5739561495952,1.93957345823638
NEK2,4751,1,1q32.3,209902745,8.41625880463862,6.9572705929774
DTL,51514,1,1q32.3,210275754,10.171636480836,12.0801378835407
C1orf75,55248,1,1q32.3,210604439,7.08173896551604,2.48220617084855
FLVCR1,28982,1,1q32.3,211098220,5.14462882070671,2.60444652674694
PTPN14,5784,1,1q41,212597634,6.13288785830024,2.53488424205624
CENPF,1063,1,1q41,212843155,5.48994135597534,5.83436259544775
LYPLAL1,127018,1,1q41,217413844,-6.06856818457392,0.230180448270065
TLR5,7100,1,1q41,221350207,-11.0023585931997,0.290113231366727
PARP1,142,1,1q42.12,224615015,8.92956219936048,3.02117289781808
LOC100130093,100130093,1,1q42.13,225982879,8.06727406299962,1.90681084163185
JMJD4,65094,1,1q42.13,225985558,8.06727406299962,1.90681084163185
C1orf142,116841,1,1q42.13,225989320,8.06727406299962,1.90681084163185
WNT9A,7483,1,1q42.13,226175320,5.67833661890319,1.81793140817735
TRIM11,81559,1,1q42.13,226648000,5.05919366541603,1.99164633306516
HIST3H3,8290,1,1q42.13,226679169,5.11924962088427,1.68188339073452
ACTA1,58,1,1q42.13,227633615,6.33587413768378,1.71655718137436
TAF5L,27097,1,1q42.13,227795481,5.05299771028676,1.77610156485433
KIAA0133,9816,1,1q42.13,227828604,8.29903891951795,3.0572235527824
GALNT2,2590,1,1q42.13,228269651,5.65967441726881,2.78237778036714
SIPA1L2,57568,1,1q42.2,230600334,-6.09963714693757,0.483620431336523
KCNK1,3775,1,1q42.2,231816373,7.55874010431058,2.75942957599982
TBCE,6905,1,1q42.3,233597351,5.50533112645287,1.59310243449509
LYST,1130,1,1q42.3,233890966,-7.2569437267397,0.199997088094278
NID1,4811,1,1q42.3,234205753,-22.9228532281612,0.0665424263797976
MT1P2,645745,1,1q43,235233975,5.45943112361931,2.27610674157815
LOC100130331,100130331,1,1q43,236092098,7.07879463861319,1.79172223710381
FH,2271,1,1q43,239727526,5.52630585400415,2.20574469732132
EXO1,9156,1,1q43,240078158,8.52945203433617,9.27598701225335
TFB2M,64216,1,1q44,244770489,6.09506194817284,1.98476534447348
RNF144A,9781,2,2p25.1,6974974,-5.48287279293363,0.411425290075304
ID2,3398,2,2p25.1,8739564,-6.16721534391206,0.253473676247926
GRHL1,29841,2,2p25.1,10009273,-6.7147568933818,0.116490589314682
ATP6V1C2,245973,2,2p25.1,10779226,-6.96065626603195,0.23843876867861
PDIA6,10130,2,2p25.1,10840968,-6.96065626603195,0.23843876867861
PQLC3,130814,2,2p25.1,11212991,-8.50670657060041,0.359257172862643
GREB1,9687,2,2p25.1,11591693,-11.1237873451855,0.141800314094597
TRIB2,28951,2,2p25.1,12774659,-10.2480110250804,0.323431182555105
FAM49A,81553,2,2p24.3,16597382,-5.67681649081657,0.242065489157555
VSNL1,7447,2,2p24.2,17585288,-5.75556368826769,0.120093269158093
NCOA1,8648,2,2p23.3,24660850,-6.51733044011216,0.295645618197265
CENPO,79172,2,2p23.3,24869841,14.9065927736203,4.77193359389788
ADCY3,109,2,2p23.3,24895542,14.9065927736203,4.77193359389788
KCNK3,3777,2,2p23.3,26769123,6.98144983119815,1.92689966305065
CENPA,1058,2,2p23.3,26862386,11.4367502256216,4.21294709775382
AGBL5,60509,2,2p23.3,27127995,7.51087248272543,2.09778159498586
CAD,790,2,2p23.3,27293762,5.25805740281818,2.48319105659088
PPM1G,5496,2,2p23.3,27457565,10.8918059690981,2.43128699056396
ZNF512,84450,2,2p23.3,27659397,6.25589563679235,1.77856812243249
XAB1,11321,2,2p23.2,27705407,6.25589563679235,1.77856812243249
LBH,81606,2,2p23.1,30307901,-9.97115113133613,0.333776390854102
EHD3,30845,2,2p23.1,31310707,-6.99383288316458,0.491680598517149
LTBP1,4052,2,2p22.3,33025896,-19.0825881850592,0.0498516166116472
RASGRP3,25780,2,2p22.3,33514920,-7.56566859184113,0.305599520182586
VIT,5212,2,2p22.2,36777418,5.47224332390293,3.55168015598156
HEATR5B,54497,2,2p22.2,37061657,-5.69678085185292,0.460911131762103
SLC8A1,6546,2,2p22.1,40192790,-13.3810049651953,0.184684839803011
ATP6V1E2,90423,2,2p21,46592490,5.75100536387316,1.74489093930171
STON1-GTF2A1L,286749,2,2p16.3,48649663,-10.4839383874638,0.275729417226365
STON1,11037,2,2p16.3,48661267,-10.4839383874638,0.275729417226365
GTF2A1L,11036,2,2p16.3,48698452,-10.4839383874638,0.275729417226365
CCT4,10575,2,2p15,61948766,6.27726935638198,2.01650919372368
OTX1,5013,2,2p15,63131469,5.29555673470132,1.92474461368494
MEIS1,4211,2,2p14,66516036,-16.6561775518618,0.0622340616910053
PNO1,56902,2,2p14,68238509,5.64001753191033,2.06016627788925
PLEK,5341,2,2p14,68445826,-12.0269512249924,0.204297954805837
C2orf13,200558,2,2p14,68548246,-6.83019461418645,0.326883489825306
PROKR1,10887,2,2p14,68726458,-6.83019461418645,0.326883489825306
SPR,6697,2,2p13.2,72968056,5.4468281800415,2.61561052434585
SMYD5,10322,2,2p13.2,73294874,5.23787067364208,2.28194159425392
FBXO41,150726,2,2p13.2,73335308,7.64874761226412,2.13983474314777
DGUOK,1716,2,2p13.1,74007461,5.49137958026716,1.85503822664102
MTHFD2,10797,2,2p13.1,74279198,5.99415642044924,2.57293298932402
SEMA4F,10505,2,2p13.1,74734901,5.40695427803629,1.64664276505084
TACR1,6869,2,2p13.1,75129738,-9.51621872222773,0.338732859399537
LOC1720,1720,2,2p12,82937438,5.23979200301382,4.28498003775148
VAMP8,8673,2,2p11.2,85658228,-5.81726940849551,0.511209717875527
USP39,10713,2,2p11.2,85696794,5.54538636990991,1.8702925458166
ST3GAL5,8869,2,2p11.2,85919782,-8.44528949205877,0.48653867681208
VPS24,51652,2,2p11.2,86584064,-7.04205675402142,0.508830639154978
RNF103,7844,2,2p11.2,86684027,-7.04205675402142,0.508830639154978
LOC440871,440871,2,2p11.2,87419112,-6.766324359539444,0.0849820543619178
IGKC,3514,2,2p11.2,88937989,-8.450538145292976,0.09110688122302243
IGK@,50802,2,2p11.2,88937989,-8.313291469374064,0.06750871803080075
IGKV3-20,28912,2,2p11.2,89223172,-6.56202458911443,0.0953525435401047
IGKV3D-15,28875,2,2p11.2,89791050,-7.291104678806615,0.10965060908354635
IGKV3D-11,28876,2,2p11.2,89849045,-6.766324359539444,0.0849820543619178
LOC642838,642838,2,2p11.1,91360653,-6.887566977300565,0.202594729076441
MAL,4118,2,2q11.1,95055206,-8.08858946878637,0.0445042080917886
LOC400986,400986,2,2q11.2,95880570,-5.78602652356127,0.20959762396971002
NCAPH,23397,2,2q11.2,96365211,8.0966996603182,5.61036927911958
