"Table S7A. Combined KEGG, C2, and GO systems map  for Drosophila and Mammalian orthologues of Drosophila candidate pain genes and binding partners",,,,,,,,,,,,
KEGG/C2,Gene sets,Gene set categories,Human Gene Symbol,Mouse Gene Symbol,Human Entrez ID,Mouse Entrez ID,Human Entrez to CGID,Mouse Entrez to CGID,Drosophila CGID,Unique List of CGID,Unique List of CGID per Category,No. of genes per categeory
KEGG,Arachidonic acid metabolism,Arachidonic Acid Metabolism,,,,"106648,13117,13118,13119,170716,21391,64385,70101,72054",,"CG2060,CG2060,CG2060,CG2060,CG2060,CG2060,CG2060,CG2060,CG2060",,CG2060,CG2060,1
C2,BIOGENIC_AMINE_SYNTHESIS,Biogenic Amine Synthesis,"GAD1,GAD2,PAH,TH","Gad1,Gad2,Pah,Th","2571,2572,5053,7054","14415,14417,18478,21823","CG7811,CG7811,CG7399,CG7399","CG7811,CG7811,CG7399,CG7399",,"CG7811,CG7399","CG7811,CG7399",2
C2,NUTT_GBN_VS_AO_DN,Ca Signalling,"ACCN2,PDE8B","Accn2,Pde8b","41,8622","11419,218461","CG1058,CG5411","CG32792,CG1058,CG5411",,"CG1058,CG5411,CG32792","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
KEGG,Ca Signalling,Ca Signalling,,,"135,136,5136,5137,5153,5534,729317,7416,7417,7419,801,805,808,810,814,815,816,817,818,886,887","108058,11540,11541,12313,12314,12315,12322,12323,12325,12326,12425,12426,18573,18574,18575,19058,22333,22334,22335,70405","CG9753,CG9753,CG14940,CG14940,CG14940,CG14353,CG17137,CG17137,CG17137,CG17137,CG8472,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG18069,CG6881,CG6881","CG18069,CG9753,CG9753,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG6881,CG6881,CG14940,CG14940,CG14940,CG14353,CG17137,CG17137,CG17137,CG8472","CG8472,CG17137,CG18069","CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
C2,AT1RPATHWAY,Ca Signalling,"CALM1,CALM2,CALM3,RAC1,SRC","Calm2,Calm1,Calm2,Calm3,Rac1,Src","801,805,808,5879,6714","12314,12313,12314,12315,19353,20779","CG8472,CG8472,CG8472,CG2248,CG7524,CG7873","CG8472,CG8472,CG8472,CG8472,CG2248,CG7524,CG7873",,"CG8472,CG2248,CG7524,CG7873","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
C2,CALCIUM_REGULATION_IN_CARDIAC_CELLS,Ca Signalling,"ARRB1,ARRB2,ATP1B1,ATP1B2,ATP1B3,CALM1,CALM2,CALM3,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,USP5,CAMK1","Calm2,Arrb1,Arrb2,Atp1b1,Atp1b2,Atp1b3,Calm1,Calm2,Calm3,Camk1,Camk2a,Camk2b,Camk2d,Camk2g,Camk4,Usp5","408,409,481,482,483,801,805,808,814,815,816,817,818,8078,8536","12314,109689,216869,11931,11932,11933,12313,12314,12315,52163,12322,12323,108058,12325,12326,22225","CG5711,CG5711,CG8663,CG8663,CG8663,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG18069,CG12082,CG18069","CG8472,CG5711,CG5711,CG8663,CG8663,CG8663,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG12082",,"CG5711,CG8663,CG8472,CG18069,CG12082","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
C2,CACAMPATHWAY,Ca Signalling,"CALM1,CALM2,CALM3,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK1,CAMK1G","Calm2,Calm1,Calm2,Calm3,Camk1,Camk1g,Camk2a,Camk2b,Camk2d,Camk2g,Camk4","801,805,808,814,815,816,817,818,8536,57172","12314,12313,12314,12315,52163,215303,12322,12323,108058,12325,12326","CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069","CG8472,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069",,"CG8472,CG18069","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
GO,calcium ion transport,Ca Signalling,trpv5 trpv4 cacna2d3 camk2b trpv1 camk2a accn2 camk2g cacna2d4 trpv2 trpv6 camk2d trpv3 ,,,"194352,63873,12294,12323,193034,12322,11419,12325,319734,22368,64177,108058,246788",,"CG5842,CG5842,CG4587,CG18069,CG5842,CG18069,CG32792,CG1058,CG18069,CG4587,CG5842,CG5842,CG18069,CG5842",,"CG5842,CG4587,CG18069,CG32792,CG1058","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
GO,calcium-dependent cell-cell adhesion,Ca Signalling,pcdh18 cdh23 cdh2 pcdhga12 pcdhgc3 ,,,"73173,22295,12558,93724,93706",,"CG7100,CG7100,CG7100,CG7100,CG7100",,CG7100,"CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
GO,calmodulin-dependent protein kinase activity,Ca Signalling,camk4 pnck camk2b camk2a camk2g camk1g camk1d camk1 camk2d ,camk4 pnck camk2b camk2a camk2g camk1g camk1d camk1 camk2d ,"814,139728,816,815,818,57172,57118,8536,817","12326,93843,12323,12322,12325,215303,227541,52163,108058","CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069","CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069,CG18069",,CG18069,"CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
GO,calmodulin binding,Ca Signalling,cask trpv4 camk4 pde1c pnck camk2b pde1a trpv1 camk2a camk2g camk1g pde1b camk1d camk1 trpv6 camk2d ,,,"12361,63873,12326,18575,93843,12323,18573,193034,12322,12325,215303,18574,227541,52163,64177,108058",,"CG6703,CG5842,CG18069,CG14940,CG18069,CG18069,CG14940,CG5842,CG18069,CG18069,CG18069,CG14940,CG18069,CG18069,CG5842,CG18069",,"CG6703,CG5842,CG18069,CG14940","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
C2,NOS1PATHWAY,Ca Signalling,"CALM1,CALM2,CALM3","Calm2,Calm1,Calm2,Calm3,Dlg4","801,805,808","12314,12313,12314,12315,13385","CG8472,CG8472,CG8472","CG8472,CG8472,CG8472,CG8472,CG1725",,"CG8472,CG1725","CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
GO,calcium-dependent cysteine-type endopeptidase activity,Ca Signalling,capns1 capn3 capn2 capn12 capn9 capn11 ,capn1 capns1 capn3 capn2 capn12 capn9 capn11 capn13 capn10 ,"826,825,824,147968,10753,11131","12333,12336,12335,12334,60594,73647,268958,381122,23830","CG8107,CG8107,CG8107,CG8107,CG8107,CG8107","CG8107,CG8107,CG8107,CG8107,CG8107,CG8107,CG8107,CG8107,",,CG8107,"CG1058,CG5411,CG32792,CG9753,CG14940,CG14353,CG17137,CG8472,CG18069,CG6881,CG2248,CG7524,CG7873,CG5711,CG8663,CG12082,CG5842,CG4587,CG7100,CG6703,CG1725,CG8107",22
KEGG,Tight junction ,Cell Adhesion,,,"10000,1019,1460,207,208,22989,4619,4620,4621,4622,4624,4625,4626,4627,4628,4629,50855,5515,5516,5518,5519,57644,60,6709,6714,71,7525,79784,84552,84612,8573,9218","11461,11465,11651,11652,12361,12567,13001,140781,17879,17880,17882,17883,17884,17885,17886,17888,19052,19053,20742,20779,22612,23797,30960,51792,544791,56513,58220,668940,71960,73699,77579,93737","CG4006,CG5072,CG8914,CG4006,CG4006,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG5884,CG7109,CG7109,CG17291,CG17291,CG2174,CG4027,CG1977,CG7524,CG7873,CG4027,CG7524,CG7873,CG2174,CG5884,CG5884,CG6703,CG5014","CG4027,CG4027,CG4006,CG4006,CG6703,CG5072,CG8914,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG2174,CG7109,CG7109,CG1977,CG7524,CG7873,CG7524,CG7873,CG4006,CG5014,CG17291,CG2174,CG5884,CG5884,CG2174,CG2174,CG17291,CG2174,CG5884",,"CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
KEGG,Focal adhesion,Cell Adhesion,,,,"109905,11461,11465,11651,11652,12334,12443,12444,12445,12845,13119,14360,170758,19353,19354,20779,215449,21825,21826,21827,21828,23797",,"CG1956,CG4027,CG4027,CG4006,CG4006,CG8107,CG9096,CG9096,CG9096,CG11326,CG2060,CG7524,CG7873,CG2248,CG2248,CG2248,CG7524,CG7873,CG1956,CG11326,CG11326,CG11326,CG11326,CG4006",,"CG1956,CG4027,CG4006,CG8107,CG9096,CG11326,CG2060,CG7524,CG7873,CG2248","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
KEGG,Adherens junction ,Cell Adhesion,,,"1387,1460,2033,2260,2534,5879,5880,5881,60,6591,6714,71,7525","11461,11465,12914,13001,14182,14360,170758,19353,19354,20583,20779,22612,328572","CG15319,CG8914,CG15319,CG7223,CG7524,CG7873,CG2248,CG2248,CG2248,CG4027,CG3758,CG7524,CG7873,CG4027,CG7524,CG7873","CG4027,CG4027,CG15319,CG8914,CG7223,CG7524,CG7873,CG2248,CG2248,CG2248,CG3758,CG7524,CG7873,CG7524,CG7873,CG15319",,"CG15319,CG8914,CG7223,CG7524,CG7873,CG2248,CG4027,CG3758","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
C2,MCALPAINPATHWAY,Cell Adhesion,,"Acta1,Capn1,Capn2,Capns1,Capns2",,"11459,12333,12334,12336,69543",,"CG4027,CG8107,CG8107,CG8107,CG8107",,"CG4027,CG8107","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
C2,HSA04510_FOCAL_ADHESION,Cell Adhesion,"ACTB,ACTG1,AKT1,AKT2,CCND1,CAPN2,CCND2,CCND3,COMP,FYN,RAC1,RAC2,RAC3,RAP1A,RAP1B,SRC,THBS1,THBS2,THBS3,THBS4,AKT3","Actb,Actg1,Akt1,Akt2,Akt3,Capn2,Ccnd1,Ccnd2,Ccnd3,Comp,Fyn,Rac1,Rac2,Rac3,Rap1a,Rap1b,Src,Thbs1,Thbs2,Thbs3,Thbs4","60,71,207,208,595,824,894,896,1311,2534,5879,5880,5881,5906,5908,6714,7057,7058,7059,7060,10000","11461,11465,11651,11652,23797,12334,12443,12444,12445,12845,14360,19353,19354,170758,109905,215449,20779,21825,21826,21827,21828","CG4027,CG4027,CG4006,CG4006,CG9096,CG8107,CG9096,CG9096,CG11326,CG7873,CG7524,CG2248,CG2248,CG2248,CG1956,CG1956,CG7873,CG7524,CG11326,CG11326,CG11326,CG11326,CG4006","CG4027,CG4027,CG4006,CG4006,CG4006,CG8107,CG9096,CG9096,CG9096,CG11326,CG7873,CG7524,CG2248,CG2248,CG2248,CG1956,CG1956,CG7873,CG7524,CG11326,CG11326,CG11326,CG11326",,"CG4027,CG4006,CG9096,CG8107,CG11326,CG7873,CG7524,CG2248,CG1956","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
C2,INTEGRIN_MEDIATED_CELL_ADHESION_KEGG,Cell Adhesion,"AKT1,CAPN2,CAPN3,CAPNS1,FYN,RAC1,RAC2,RAC3,RAP1B,SRC,AKT3,CAPN9,CAPN11","Akt1,Akt3,Capn1,Capn11,Capn2,Capn3,Capn9,Capns1,Fyn,Rac1,Rac2,Rac3,Rap1b,Src","207,824,825,826,2534,5879,5880,5881,5908,6714,10000,10753,11131","11651,23797,12333,268958,12334,12335,73647,12336,14360,19353,19354,170758,215449,20779","CG4006,CG8107,CG8107,CG8107,CG7524,CG7873,CG2248,CG2248,CG2248,CG1956,CG7524,CG7873,CG4006,CG8107,CG8107","CG4006,CG4006,CG8107,CG8107,CG8107,CG8107,CG8107,CG8107,CG7524,CG7873,CG2248,CG2248,CG2248,CG1956,CG7524,CG7873",,"CG4006,CG8107,CG7524,CG7873,CG2248,CG1956","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
C2,INTEGRINPATHWAY,Cell Adhesion,"ACTA1,CAPNS1,FYN,RAP1A,SRC","Acta1,Capn1,Capns1,Capns2,Fyn,Rap1a,Src","58,826,2534,5906,6714","11459,12333,12336,69543,14360,109905,20779","CG4027,CG8107,CG7524,CG7873,CG1956,CG7524,CG7873","CG4027,CG8107,CG8107,CG8107,CG7524,CG7873,CG1956,CG7524,CG7873",,"CG4027,CG8107,CG7524,CG7873,CG1956","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
C2,CELL_ADHESION_MOLECULE_ACTIVITY,Cell Adhesion,"CD36,THBS1,THBS2,THBS4,CD226","Cd226,Cd36,Cdh2,Fez2,Pcdhb10,Pcdhb11,Pcdhb12,Pcdhb14,Pcdhb15,Pcdhb2,Pcdhb3,Pcdhb4,Pcdhb6,Thbs1,Thbs2,Thbs4","948,7057,7058,7060,10666","225825,12491,12558,225020,93881,93882,93883,93885,93886,93873,93874,93875,93877,21825,21826,21828","CG7422,CG11326,CG11326,CG11326,CG13162","CG13162,CG7422,CG7100,CG3981,CG7100,CG7100,CG7100,CG7100,CG7100,CG7100,CG7100,CG7100,CG7100,CG11326,CG11326,CG11326",,"CG7422,CG11326,CG13162,CG7100,CG3981","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
C2,PASSERINI_TRANSCRIPTION,Cell Adhesion,"NFE2L1,NFKB1,NFKB2,NFYA,PBX2,XBP1,FUBP1,AIP,BRD8","Aip,Brd8,Fubp1,Nfe2l1,Nfkb1,Nfkb2,Nfya,Pbx2,Xbp1","4779,4790,4791,4800,5089,7494,8880,9049,10902","11632,78656,51886,18023,18033,18034,18044,18515,22433","CG17894,CG11992,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514","CG1847,CG14514,CG8912,CG17894,CG11992,CG11992,CG3891,CG8933,CG9415",,"CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
