HPRD_ID,PlasmoDB_ID,E value,Bit score,identity,similarity,gaps,query_length,query_coverage,hit_length,percentage coverage wrt query,
HPRD_00277,PF11_0096,1e-120,427,0.6,0.75,0,391,318,380,81.32,
HPRD_07105,PF14_0359,3e-66,247,0.4,0.57,14,412,335,460,81.31,
HPRD_00683,PFB0210c,3e-35,145,0.27,0.46,34,492,400,546,81.3,
HPRD_00823,PFC0920w,5e-46,177,0.85,0.95,0,128,104,192,81.25,
HPRD_01607,PFE0350c,7e-93,336,0.48,0.63,0,427,346,453,81.03,
HPRD_04634,PF14_0136,1e-41,166,0.45,0.65,9,444,188,524,81,
HPRD_16459,PFL1180w,7e-30,125,0.38,0.58,4,204,164,319,80.39,
HPRD_03143,PFI1260c,1e-143,502,0.58,0.75,4,482,387,477,80.29,
HPRD_02135,MAL7P1.94,2e-26,114,0.36,0.62,5,197,158,227,80.2,
HPRD_11821,PF11_0061,8e-39,153,0.9,0.97,0,103,82,129,79.61,
HPRD_11915,PF11_0061,8e-39,153,0.9,0.97,0,103,82,129,79.61,
HPRD_03554,PFE0285c,3e-18,84.7,0.47,0.72,0,101,80,138,79.2,
HPRD_18042,PF13_0296,8e-22,96.7,0.57,0.79,0,86,68,133,79.06,
HPRD_11882,PFF0520w,8e-54,206,0.37,0.57,19,400,316,548,79,
HPRD_05521,PFI1260c,1e-141,498,0.58,0.75,4,488,385,477,78.89,
HPRD_00459,PF11_0164,2e-37,150,0.47,0.61,5,212,164,235,77.35,
HPRD_03040,PF11_0266,3e-25,108,0.58,0.71,11,119,92,172,77.31,
HPRD_13638,PFL0565w,1e-24,107,0.5,0.58,2,145,112,282,77.24,
HPRD_00777,PF07_0029,1e-169,590,0.65,0.79,10,854,443,771,77,
HPRD_08851,PFF0860c,8e-41,160,0.79,0.88,0,130,100,151,76.92,
HPRD_04152,PFF0860c,5e-40,157,0.78,0.87,0,130,99,151,76.15,
HPRD_09702,PFL1200c,2e-35,142,0.69,0.85,0,125,95,144,76,
HPRD_00536,PF14_0316,0,1080,0.47,0.64,98,1531,1154,1506,75.37,
HPRD_11873,PFL0185c,5e-23,103,0.26,0.42,50,375,279,402,74.4,
HPRD_03658,PF14_0254,2e-52,203,0.25,0.47,59,936,693,857,74.03,
HPRD_02129,PF14_0174,1e-140,493,0.61,0.78,0,514,378,502,73.54,
HPRD_14382,PF14_0718,3e-16,79,0.38,0.59,0,131,96,168,73.28,
HPRD_00617,PF14_0068,1e-95,345,0.69,0.85,1,321,235,348,73.2,
HPRD_03695,PFL2460w,2e-52,202,0.32,0.52,21,525,384,621,73.14,
HPRD_09758,PFD0462w,2e-41,166,0.28,0.47,33,480,348,693,72.5,
HPRD_00537,PF14_0316,0,1097,0.47,0.64,102,1621,1168,1506,72.05,
HPRD_03666,MAL8P1.131,6e-18,86.3,0.29,0.49,3,227,163,265,71.8,
HPRD_03883,PFA0590w,2e-26,117,0.19,0.38,201,1480,1061,1854,71.68,
HPRD_03494,PF07_0054,1e-35,143,0.73,0.92,0,126,90,151,71.42,
HPRD_03137,PFF1050w,2e-19,90.9,0.31,0.52,2,215,152,245,70.69,
HPRD_13753,PF14_0548,6e-64,240,0.38,0.56,46,490,345,444,70.4,
HPRD_02920,PF11_0377,1e-126,445,0.69,0.86,0,415,290,346,69.87,
HPRD_12140,PF14_0431,1e-60,229,0.37,0.6,22,481,336,912,69.85,
HPRD_06501,MAL8P1.17,4e-54,208,0.3,0.49,35,645,449,528,69.61,
HPRD_01023,PFC0770c,1e-69,260,0.29,0.49,103,1056,730,1658,69.12,
HPRD_09023,PFI0930c,7e-26,112,0.31,0.57,8,277,190,302,68.59,
HPRD_12027,PFL1680w,0,732,0.44,0.63,68,1217,831,1373,68.28,
HPRD_13236,PF13_0036,5e-13,70.1,0.27,0.53,8,264,179,353,67.8,
HPRD_03910,PF14_0493,2e-47,186,0.26,0.44,100,831,545,921,65.58,
HPRD_07223,PF13_0170,1e-98,356,0.38,0.52,86,775,508,964,65.54,
HPRD_09467,PF13_0211,3e-48,188,0.33,0.57,45,473,307,610,64.9,
HPRD_01262,PFL2250c,6e-94,340,0.46,0.71,3,520,335,790,64.42,
HPRD_11794,PFL2275c,7e-30,127,0.27,0.51,17,459,295,349,64.27,
HPRD_09281,PFC0375c,0,1138,0.67,0.81,1,1304,838,1419,64.26,
HPRD_04019,PFL2275c,4e-33,137,0.3,0.52,11,457,293,349,64.11,
HPRD_10352,PF13_0022,3e-21,98.2,0.3,0.46,37,357,228,281,63.86,
HPRD_04512,PF10_0196,1e-82,303,0.37,0.62,12,638,405,821,63.47,
HPRD_08426,PFE1370w,7e-39,156,0.35,0.58,17,369,233,497,63.14,
HPRD_04686,PF10_0261,7e-64,240,0.33,0.53,58,499,314,631,62.92,
HPRD_01261,PFL2250c,2e-90,328,0.49,0.72,1,480,301,790,62.7,
HPRD_06763,PF07_0029,1e-167,584,0.64,0.77,10,724,445,771,61.46,
HPRD_17079,PF11_0258,5e-18,86.3,0.33,0.59,3,225,136,326,60.44,
HPRD_07375,PF08_0098,3e-91,331,0.42,0.64,3,647,390,973,60.27,
HPRD_08864,PF10_0340,2e-18,90.5,0.21,0.39,77,900,539,927,59.88,
HPRD_02887,PFE0865c,1e-21,98.6,0.4,0.5,2,248,141,302,56.85,
HPRD_07038,PFL0585w,0,732,0.98,1,0,685,380,430,55.47,
HPRD_01042,PFF1095w,1e-103,373,0.31,0.49,176,1176,605,1496,51.44,
HPRD_04538,PF11_0053,1e-169,590,0.54,0.74,9,1052,536,1444,50.95,
HPRD_02511,PFE0305w,5e-35,143,0.4,0.68,6,339,168,386,49.55,orthomcldb
HPRD_12028,PF14_0194,2e-60,228,0.54,0.75,2,424,197,527,46.46,orthomcldb
HPRD_02877,PFF0970w,2e-46,182,0.45,0.58,3,464,213,273,45.9,orthomcldb
HPRD_16088,PFE0870w,6e-87,318,0.35,0.59,37,1047,460,1182,43.93,
HPRD_01655,PF14_0146,4e-18,87,0.46,0.73,2,240,84,234,35,orthomcldb
HPRD_00703,PFL0670c,1e-147,517,0.51,0.66,10,1512,504,800,33.33,orthomcldb
,,,,,,,,,,,
"5 sequences present in green is added based on good Evalue, good identity and their presence in orthomcl database ",,,,,,,,,,,
