Appr Gene (m),MGI ID,Appr Gene (h),HGNC ID,Ensembl (m),Ensembl (h),human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Perm 0.01),t-test p value
Add1,MGI:87918,ADD1,HGNC:243,ENSMUSG00000029106,ENSG00000087274,630,875,2.827123,2.664589,2.426524,2.933904,3.120327,2.886008,2.9800796666666667,2.639412,0.7896757722340385,,0.0671102805511845
Add2,MGI:87919,ADD2,HGNC:244,ENSMUSG00000030000,ENSG00000075340,631,1517,1.983568,2.161499,1.916536,2.583471,1.982701,2.25172,2.2726306666666667,2.0205343333333334,0.8396754232753546,,0.252059305485016
Add3,MGI:1351615,ADD3,HGNC:245,ENSMUSG00000025026,ENSG00000148700,1490,1756,-1.542071,-1.711195,-1.190369,-0.2778641,0.4835716,-0.3570049,-0.050432466666666675,-1.4812116666666668,0.37093049887831353,,0.00978003510171521
Adrbk1,MGI:87940,ADRBK1,HGNC:289,ENSMUSG00000024858,ENSG00000173020,431,1485,-1.832564,-0.4995821,-0.3975413,-2.895637,-0.696771,-3.582315,-2.3915743333333332,-0.9098958,2.7927347080805602,,0.207122206475622
Afg3l2,MGI:1916847,AFG3L2,HGNC:315,ENSMUSG00000024527,ENSG00000141385,64,992,-0.8746406,-1.261406,-1.312653,0.02272524,0.0676057,-0.8335957,-0.24775492000000002,-1.1495665333333334,0.5352142327574408,,0.0497206273775042
Agap2,MGI:3580016,AGAP2,HGNC:16921,ENSMUSG00000025422,ENSG00000135439,1375,1671,2.065425,2.246975,2.030633,-0.0536292,0.2558064,0.5972873,0.2664881666666667,2.1143443333333334,3.5996488246851395,+,0.000756764142714509
Agk,MGI:1917173,AGK,HGNC:21869,ENSMUSG00000029916,ENSG00000006530,616,169,-5.602952,-2.805159,0.3224919,0.0929126,-3.853326,-3.273425,-2.3446128,-2.695206366666667,0.7842613635933936,,0.875958577582217
Ahcyl1,MGI:2385184,AHCYL1,HGNC:344,ENSMUSG00000027893,ENSG00000168710,1287,963,1.357006,1.426662,1.706613,0.6134388,0.5765263,1.894431,1.0281320333333335,1.4967603333333332,1.383793145769165,,0.35291509306355
Aifm3,MGI:1919418,AIFM3,HGNC:26398,ENSMUSG00000022763,ENSG00000183773,1041,1392,-0.4007679,-0.299269,-0.06069941,-2.06582,-3.725085,-3.367843,-3.052916,-0.25357877,6.9612058135309995,+,0.00552747289300833
Aldoa,MGI:87994,ALDOA,HGNC:414,ENSMUSG00000030695,ENSG00000149925,2076,1012,6.129687,6.258807,6.548873,5.566912,6.084767,6.463492,6.038390333333333,6.312455666666668,1.2092104344326153,,0.395035108308677
Amph,MGI:103574,AMPH,HGNC:471,ENSMUSG00000021314,ENSG00000078053,1718,1776,1.652445,1.169742,1.279278,1.670165,1.886843,1.846425,1.8011443333333332,1.3671550000000001,0.7402121217898753,,0.0539074034179639
Ank1,MGI:88024,ANK1,HGNC:492,ENSMUSG00000031543,ENSG00000029534,2220,367,-1.197513,-0.3434927,-1.178959,4.456507,2.699874,1.566276,2.9075523333333333,-0.9066549,0.07109011439701075,,0.0126293736953687
Ank2,MGI:88025,ANK2,HGNC:493,ENSMUSG00000032826,ENSG00000145362,1096,1153,3.969331,3.824391,3.692758,2.892167,3.808693,3.691747,3.464202333333333,3.8288266666666666,1.287546318720066,,0.289474970026406
Ank3,MGI:88026,ANK3,HGNC:494,ENSMUSG00000069601,ENSG00000151150,2426,2133,0.297275,0.5634584,0.413881,0.175515,0.1112449,0.5204728,0.26907756666666666,0.42487146666666664,1.1140344911195148,,0.353585614175824
Anks1b,MGI:1924781,ANKS1B,HGNC:24600,ENSMUSG00000058589,ENSG00000185046,2042,2205,5.525982,5.941206,5.593402,0.7397298,1.672609,1.687954,1.3667642666666666,5.686863333333334,19.97466035093026,+,0.00021823892221931
Ap1b1,MGI:1096368,AP1B1,HGNC:554,ENSMUSG00000009090,ENSG00000100280,1750,2160,0.9863631,0.3452511,0.4915849,-0.2892075,-1.210016,-0.004860756,-0.5013614186666667,0.6077330333333334,2.1571020823789393,,0.0546206515960623
Ap1s1,MGI:1098244,AP1S1,HGNC:559,ENSMUSG00000004849,ENSG00000106367,1156,304,-2.274535,-2.482457,-2.493984,-0.4388281,0.1600699,-0.07624536,-0.11833452,-2.416992,0.2032521502376739,+,0.000257943089357005
Ap2a1,MGI:101921,AP2A1,HGNC:561,ENSMUSG00000060279,ENSG00000196961,1522,44,4.841625,5.085395,5.584803,3.82706,4.219918,3.891818,3.9795986666666665,5.170607666666666,2.283123657075653,,0.0089109550099307
Ap2a2,MGI:101920,AP2A2,HGNC:562,ENSMUSG00000002957,ENSG00000183020,2417,2253,3.427814,3.545912,4.563925,2.372436,2.560287,2.092344,2.341689,3.845883666666667,2.83666280396933,,0.0174995579794636
Ap2b1,MGI:1919020,AP2B1,HGNC:563,ENSMUSG00000035152,ENSG00000006125,2289,362,5.090728,5.045702,5.689309,4.2845,4.56512,4.323151,4.390923666666667,5.2752463333333335,1.845897784317416,,0.0171634577023777
Ap2m1,MGI:1298405,AP2M1,HGNC:564,ENSMUSG00000022841,ENSG00000161203,704,253,4.953723,5.320668,5.287457,4.91071,5.403228,4.51519,4.943042666666667,5.187282666666667,1.1844686381282687,,0.435784746204498
Ap2s1,MGI:2141861,AP2S1,HGNC:565,ENSMUSG00000008036,ENSG00000042753,1451,303,2.911942,2.501769,3.022272,2.497406,3.209216,2.619018,2.7752133333333333,2.8119943333333333,1.0258224144622854,,0.898565742344255
Ap3b2,MGI:1100869,AP3B2,HGNC:567,ENSMUSG00000062444,ENSG00000103723,204,1863,-2.87549,-2.395188,-2.402527,0.0237442,-0.8112065,-0.5318563,-0.43977286666666665,-2.557735,0.23037209308655965,+,0.00192654610087595
Ap3m2,MGI:1929214,AP3M2,HGNC:570,ENSMUSG00000031539,ENSG00000070718,728,514,-4.561472,-2.607216,-3.724992,-0.9427093,-0.3046205,-0.2661603,-0.5044966999999999,-3.6312266666666666,0.11448813786725055,,0.00674377726948472
Ap3s1,MGI:1337062,AP3S1,HGNC:2013,ENSMUSG00000024480,ENSG00000177879,502,1505,-3.574043,-4.022573,-5.295353,-2.797921,-1.696023,-3.454697,-2.649547,-4.2973230000000004,0.31913173834003256,,0.0861577457738874
Ap3s2,MGI:1337060,AP3S2,HGNC:571,ENSMUSG00000063801,ENSG00000157823,804,469,-2.052241,-2.968403,-3.364392,-2.446823,-2.658166,-2.754314,-2.6197676666666667,-2.795012,0.8856175191378121,,0.683232483685584
Apoe,MGI:88057,APOE,HGNC:613,ENSMUSG00000002985,ENSG00000130203,685,1526,-2.594333,-2.497008,-3.736627,-1.699394,-1.129571,-1.726734,-1.5185663333333335,-2.942656,0.37265443468804405,,0.0324525753733116
Arf1,MGI:99431,ARF1,HGNC:652,ENSMUSG00000048076,ENSG00000143761,1321,1026,-0.5993139,-2.603954,-5.061377,0.7556896,0.5641935,-1.214523,0.03512003333333332,-2.7548816333333335,0.14458585595593373,,0.123710595645242
Arf3,MGI:99432,ARF3,HGNC:654,ENSMUSG00000051853,ENSG00000134287,1321,1026,-0.5993139,-2.603954,-5.061377,0.7556896,0.5641935,-1.214523,0.03512003333333332,-2.7548816333333335,0.14458585595593373,,0.123710595645242
Arf5,MGI:99434,ARF5,HGNC:658,ENSMUSG00000020440,ENSG00000004059,1323,1027,-1.330832,-2.008889,-2.977239,-1.655412,-2.778362,-2.6903,-2.3746913333333333,-2.105653333333333,1.2050040538929654,,0.676344338969299
Arhgap21,MGI:1918685,ARHGAP21,HGNC:23725,ENSMUSG00000036591,ENSG00000107863,1216,2239,-1.346843,-1.624355,-1.207666,-2.028926,-1.195478,-1.115203,-1.4465356666666667,-1.3929546666666666,1.037837808915504,,0.873883134578457
Arhgap23,MGI:3697726,ARHGAP23,HGNC:29293,ENSMUSG00000049807,ENSG00000214627,1113,2157,-0.3641754,-0.9721134,-1.254044,-2.780884,-2.053137,-2.485535,-2.439852,-0.8634442666666665,2.982263499462456,,0.00946753121280387
Arhgap26,MGI:1918552,ARHGAP26,HGNC:17073,ENSMUSG00000036452,ENSG00000145819,285,2120,-1.214012,-1.196008,-0.9183488,-1.710331,-1.089988,-2.727712,-1.8426770000000001,-1.1094562666666667,1.6623460438190094,,0.206537549433915
Arhgap33,MGI:2673998,ARHGAP33,HGNC:23085,ENSMUSG00000036882,ENSG00000004777,2126,1284,-1.25801,-1.714299,-2.802536,-2.786645,-1.937992,-2.436012,-2.3868829999999996,-1.9249483333333333,1.3773876691219649,,0.424639786273653
Arhgap39,MGI:107858,ARHGAP39,HGNC:29351,ENSMUSG00000033697,ENSG00000147799,2052,1670,-1.126893,-1.931882,-1.349456,-4.634402,-4.079834,-2.980769,-3.898335,-1.4694103333333333,5.384919084974085,,0.010974387165575
Arhgap44,MGI:2144423,ARHGAP44,HGNC:29096,ENSMUSG00000033389,ENSG00000006740,2254,634,-0.9951452,-0.974218,-0.3680992,-2.809286,-1.378465,-1.845587,-2.011112666666667,-0.7791541333333334,2.3488564294438907,,0.0582992370973715
Arhgef2,MGI:103264,ARHGEF2,HGNC:682,ENSMUSG00000028059,ENSG00000116584,1557,1375,0.5881324,0.5394424,0.2352095,0.394251,-0.3517404,0.08321214,0.04190758,0.4542614333333334,1.3308554232101588,,0.164798190010635
Arpc2,MGI:1923959,ARPC2,HGNC:705,ENSMUSG00000006304,ENSG00000163466,179,2196,-0.7752938,-0.4451025,-0.9636253,-0.03165822,-0.5344647,-1.222181,-0.5961013066666666,-0.7280072,0.9126250169224828,,0.743984412972256
Arpc3,MGI:1928375,ARPC3,HGNC:706,ENSMUSG00000029465,ENSG00000111229,180,534,-0.04229702,0.008941302,0.1087026,0.01549043,0.7014044,-1.109092,-0.13073239,0.025115627333333335,1.1140762807597067,,0.783184541002844
Arpc4,MGI:1915339,ARPC4,HGNC:707,ENSMUSG00000079426,ENSG00000214021,2155,926,0.7426664,0.3208558,0.08284438,0.5341964,1.201289,-0.430849,0.43487879999999995,0.38212219333333336,0.964092443553504,,0.922821457983349
Atad1,MGI:1915229,ATAD1,HGNC:25903,ENSMUSG00000013662,ENSG00000138138,1234,38,-1.281461,-2.168318,-2.101599,-0.2634238,-1.502859,-1.55213,-1.1061376,-1.8504593333333335,0.5969484540813318,,0.217452610123482
Atad3a,MGI:1919214,ATAD3A,HGNC:25567,ENSMUSG00000029036,ENSG00000215744,1618,590,-0.3594638,-0.9093584,-0.7291293,0.1267281,0.1875531,-0.7451467,-0.14362183333333334,-0.6659838333333333,0.6962310206291967,,0.201378658534426
Atp13a1,MGI:2180801,ATP13A1,HGNC:24215,ENSMUSG00000031862,ENSG00000105726,1034,82,-1.543383,-3.380395,-1.9609,-4.161936,-3.849933,-5.138851,-4.3835733333333335,-2.294892666666667,4.25358907669298,,0.0369256932318085
Atp1a1,MGI:88105,ATP1A1,HGNC:799,ENSMUSG00000033161,ENSG00000163399,223,1387,2.406885,2.564183,2.516064,2.915247,2.194658,2.518545,2.5428166666666665,2.4957106666666666,0.9678759109525636,,0.836182665199698
Atp1a2,MGI:88106,ATP1A2,HGNC:800,ENSMUSG00000007097,ENSG00000018625,116,1869,1.500092,0.9029546,1.672025,1.559711,0.9833942,1.07061,1.2045717333333334,1.3583572000000002,1.1124846782802902,,0.628634352481184
Atp1a3,MGI:88107,ATP1A3,HGNC:801,ENSMUSG00000040907,ENSG00000105409,1691,435,6.036823,5.902931,6.002739,5.519481,5.160562,5.629097,5.43638,5.980830999999999,1.458465237471373,,0.0208062237738837
Atp1b1,MGI:88108,ATP1B1,HGNC:804,ENSMUSG00000026576,ENSG00000143153,2260,422,4.220406,4.275486,3.762732,4.717093,4.139403,5.034939,4.6304783333333335,4.086208,0.6857381381033288,,0.152372357624716
Atp1b2,MGI:88109,ATP1B2,HGNC:805,ENSMUSG00000041329,ENSG00000129244,1594,496,0.4787399,0.02848229,0.5237924,2.265028,1.943125,2.399713,2.2026220000000003,0.34367153,0.2756767550232946,+,0.000870188095161817
Atp2a2,MGI:88110,ATP2A2,HGNC:812,ENSMUSG00000029467,ENSG00000174437,1257,1641,1.548703,2.292362,2.415637,0.7125376,1.078162,0.8288825,0.8731940333333332,2.085567333333333,2.3171851107421144,,0.0141503199707049
Atp2b1,MGI:104653,ATP2B1,HGNC:814,ENSMUSG00000019943,ENSG00000070961,678,2107,1.861712,1.978435,2.152361,1.286684,0.9593456,1.443051,1.2296935333333334,1.9975026666666666,1.7026821379767452,,0.00976975299209946
Atp2b2,MGI:105368,ATP2B2,HGNC:815,ENSMUSG00000030302,ENSG00000157087,343,606,3.091015,2.911101,3.070867,1.835499,0.6641257,1.51344,1.3376882333333333,3.0243276666666667,3.2190599239151956,,0.00887419987358425
Atp2b3,MGI:1347353,ATP2B3,HGNC:816,ENSMUSG00000031376,ENSG00000067842,134,1287,-1.363762,-1.16583,-2.754707,-2.38148,-2.857354,-1.491906,-2.24358,-1.761433,1.396820850974557,,0.493367908245293
Atp5a1,MGI:88115,ATP5A1,HGNC:823,ENSMUSG00000025428,ENSG00000152234,2024,690,5.083651,5.416357,4.315711,5.827308,5.4147,5.077425,5.439811,4.938573,0.7065002616650751,,0.269588627879057
Atp5b,MGI:107801,ATP5B,HGNC:830,ENSMUSG00000025393,ENSG00000110955,1699,2033,6.831314,6.843092,6.002353,6.347749,7.239498,5.828122,6.471789666666667,6.558919666666667,1.062254901051591,,0.869426582220203
Atp5d,MGI:1913293,ATP5D,HGNC:837,ENSMUSG00000003072,ENSG00000099624,794,1902,0.8569603,-0.2321927,0.3770968,1.144131,1.267354,-0.2533785,0.7193688333333332,0.33395480000000005,0.7655592621988171,,0.543139450711732
Atp5o,MGI:106341,ATP5O,HGNC:850,ENSMUSG00000022956,ENSG00000159186,267,334,-2.244962,-1.156839,-1.441361,-1.61857,0.2685514,-1.10709,-0.8190361999999999,-1.6143873333333332,0.5762029159864936,,0.288816617572046
Atp6v0a1,MGI:103286,ATP6V0A1,HGNC:865,ENSMUSG00000019302,ENSG00000033627,2243,1183,6.143475,5.58321,5.998477,3.525194,4.54568,2.979977,3.683617,5.908387333333334,4.674364809778319,,0.0103923589045722
Atp6v0d1,MGI:1201778,ATP6V0D1,HGNC:13724,ENSMUSG00000013160,ENSG00000159720,1033,1408,5.239364,4.331047,5.245081,3.976943,3.108322,4.046401,3.710555333333333,4.938497333333333,2.342326193090501,,0.0455639682153545
Atp6v1a,MGI:1201780,ATP6V1A,HGNC:851,ENSMUSG00000052459,ENSG00000114573,271,1821,5.414543,5.429766,5.509775,4.518017,4.975917,5.002003,4.831979,5.451361333333334,1.5362173337432008,,0.0179438047920748
Atp6v1b2,MGI:109618,ATP6V1B2,HGNC:854,ENSMUSG00000006273,ENSG00000147416,283,341,4.710135,4.956219,4.150127,3.166935,4.189973,3.919968,3.758958666666667,4.605493666666667,1.7981769542848103,,0.0945859794503291
Atp6v1c1,MGI:1913585,ATP6V1C1,HGNC:856,ENSMUSG00000022295,ENSG00000155097,284,687,2.486887,2.302538,2.697965,1.732444,1.334819,2.454321,1.8405280000000002,2.4957966666666667,1.574909214154024,,0.131999001113853
Atp6v1d,MGI:1921084,ATP6V1D,HGNC:13527,ENSMUSG00000021114,ENSG00000100554,70,321,1.801093,1.596683,1.233532,1.27218,1.353054,0.6591178,1.0947839333333331,1.5437693333333335,1.3650799032764867,,0.17768271260582
Atp6v1e1,MGI:894326,ATP6V1E1,HGNC:857,ENSMUSG00000019210,ENSG00000131100,139,342,5.109818,4.788508,4.104434,2.153731,4.218834,3.795461,3.3893419999999996,4.667586666666668,2.4254369331209014,,0.140185673362919
Atp6v1f,MGI:1913394,ATP6V1F,HGNC:16832,ENSMUSG00000004285,ENSG00000128524,160,1436,-0.3290375,-1.120958,-0.8860142,0.62498,-1.036596,0.5788734,0.05575246666666663,-0.7786699,0.560807532946457,,0.233221673837114
Atp6v1g2,MGI:1913487,ATP6V1G2,HGNC:862,ENSMUSG00000024403,ENSG00000213760,1001,501,4.39413,3.196768,3.90256,2.934013,3.807561,3.539962,3.4271786666666664,3.831152666666666,1.3231475941566155,,0.403686562943631
Atp6v1h,MGI:1914864,ATP6V1H,HGNC:18303,ENSMUSG00000033793,ENSG00000047249,1621,1383,3.617737,3.863336,3.936254,3.770911,5.166276,3.953475,4.296887333333333,3.805775666666667,0.711476659171516,,0.334881090411461
Atp8a1,MGI:1330848,ATP8A1,HGNC:13531,ENSMUSG00000037685,ENSG00000124406,1010,146,-0.9363037,-1.122396,-1.507453,-0.1685226,-0.6099215,-0.2957935,-0.3580792,-1.1887175666666667,0.5622803883099452,,0.0176229045050618
Atp9a,MGI:1330826,ATP9A,HGNC:13540,ENSMUSG00000027546,ENSG00000054793,775,256,-3.112607,-2.347579,-2.450487,-2.32079,-2.925175,-3.464212,-2.903392333333333,-2.636891,1.202887176910853,,0.549350144724516
Auh,MGI:1338011,AUH,HGNC:890,ENSMUSG00000021460,ENSG00000148090,580,539,0.04321624,0.5238695,0.49455,0.792145,-0.4890507,-1.983136,-0.5600139000000001,0.35387858,1.884122124259155,,0.32589302009703
AW555464,MGI:2145043,KIAA0284,HGNC:20362,ENSMUSG00000072825,ENSG00000099814,1276,1733,-6.479861,-4.034206,-3.527148,-4.650852,-3.835801,-4.196404,-4.227685666666667,-4.680405,0.7306643213015703,,0.65576320746172
Bag5,MGI:1917619,BAG5,HGNC:941,ENSMUSG00000049792,ENSG00000166170,276,1212,-1.483411,-0.6478179,-1.668248,-1.123653,0.192609,1.35039,0.139782,-1.2664923000000001,0.37728475205798656,,0.145971271847848
Bai1,MGI:1933736,BAI1,HGNC:943,ENSMUSG00000034730,ENSG00000181790,710,1205,-2.197985,-2.786425,-2.390353,-4.40966,-2.674092,-4.704835,-3.929529,-2.4582543333333335,2.7726675937818492,,0.0885933197168629
