MicroRNA name,Genome coordinates,Conserved region,"Start putative MRE
3'-UTR position
(NM_001025366)","End putative MRE
3'-UTR position
(NM_001025366)","MRE predicted by
microRNA.org
(468)","MRE predicted by
TargetScan
(† = MRE conserved)
(176)","MRE predicted by
DIANA microT v3.0
(38)","MRE predicted by
miRDB
(34)","MRE predicted by
Microcosm
(8)",Count,Experimental evidence
hsa-miR-452,[hg19:6:43753547-43753568:+],Conserved region 2,1248,1269,yes,yes†,,yes,,3 / 5,
hsa-miR-520a-3p,[hg19:6:43752460-43752482:+],Conserved region 1,161,183,yes,yes†,yes,,,3 / 5,
hsa-miR-520e,[hg19:6:43752462-43752482:+],Conserved region 1,163,183,yes,yes†,yes,,,3 / 5,
hsa-miR-548a-3p,[hg19:6:43754095-43754115:+],Conserved region 2,1796,1816,yes,yes†,yes,,,3 / 5,
hsa-miR-548d-3p,[hg19:6:43753575-43753594:+],Conserved region 2,1276,1295,yes,yes†,,yes,,3 / 5,
hsa-miR-548d-3p,[hg19:6:43753658-43753682:+],Conserved region 2,1359,1383,yes,yes,,yes,,3 / 5,
hsa-miR-576-5p,[hg19:6:43753536-43753557:+],Conserved region 2,1237,1258,yes,yes†,,yes,,3 / 5,
hsa-miR-578,[hg19:6:43753952-43753972:+],Conserved region 2,1653,1673,yes,yes†,,yes,,3 / 5,
hsa-miR-613,[hg19:6:43753796-43753816:+],Conserved region 2,1497,1517,yes,yes†,yes,,,3 / 5,
hsa-miR-655,[hg19:6:43754181-43754202:+],Conserved region 2,1882,1903,yes,yes†,,yes,,3 / 5,
hsa-miR-889,[hg19:6:43754065-43754085:+],Conserved region 2,1766,1786,yes,yes†,,yes,,3 / 5,
hsa-miR-939,[hg19:6:43753256-43753281:+],Non-conserved region,957,982,yes,yes,yes,,,3 / 5,
hsa-miR-939,[hg19:6:43753292-43753317:+],Non-conserved region,993,1018,yes,yes,yes,,,3 / 5,
hsa-miR-939,[hg19:6:43753780-43753804:+],Conserved region 2,1481,1505,yes,yes,yes,,,3 / 5,
hsa-miR-943,[hg19:6:43753712-43753733:+],Conserved region 2,1413,1434,yes,yes,,,yes,3 / 5,
hsa-miR-944,[hg19:6:43754047-43754068:+],Conserved region 2,1748,1769,yes,yes†,,yes,,3 / 5,
hsa-miR-1236,[hg19:6:43752833-43752839:+]+,Non-conserved region,534,540,,yes,n/d,yes,n/d,2 / 3,
hsa-miR-1274a,[hg19:6:43752820-43752836:+],Non-conserved region,521,537,yes,yes,n/d,,n/d,2 / 3,
hsa-miR-1274a,[hg19:6:43753025-43753042:+],Non-conserved region,726,743,yes,yes,n/d,,n/d,2 / 3,
hsa-miR-1285,[hg19:6:43753189-43753209:+],Non-conserved region,890,910,yes,yes,n/d,,n/d,2 / 3,
hsa-miR-1293,[hg19:6:43752619-43752641:+],Conserved region 1,320,342,yes,yes,n/d,,n/d,2 / 3,
hsa-miR-1299,[hg19:6:43752420-43752441:+],Conserved region 1,121,142,yes,yes,n/d,,n/d,2 / 3,
hsa-miR-1302,[hg19:6:43752861-43752881:+],Non-conserved region,562,582,yes,yes,n/d,,n/d,2 / 3,
hsa-miR-1825,[hg19:6:43752755-43752772:+],Conserved region 1,456,473,yes,yes†,n/d,,n/d,2 / 3,
hsa-miR-1975,[hg19:6:43754047-43754074:+],Conserved region 2,1748,1775,yes,,n/d,yes,n/d,2 / 3,
hsa-miR-2053,[hg19:6:43752722-43752744:+],Conserved region 1,423,445,yes,,n/d,yes,n/d,2 / 3,
hsa-miR-2053,[hg19:6:43754066-43754088:+],Conserved region 2,1767,1789,yes,,n/d,yes,n/d,2 / 3,
hsa-miR-302e,[hg19:6:43752466-43752482:+],Conserved region 1,167,183,yes,yes†,n/d,,n/d,2 / 3,
hsa-miR-548e,[hg19:6:43752593-43752614:+],Conserved region 1,294,315,yes,yes,n/d,,n/d,2 / 3,
hsa-miR-548e,[hg19:6:43754095-43754115:+],Conserved region 2,1796,1816,yes,yes†,n/d,,n/d,2 / 3,
hsa-miR-548f,[hg19:6:43752596-43752614:+],Conserved region 1,297,315,yes,yes,n/d,,n/d,2 / 3,
hsa-miR-548f,[hg19:6:43754097-43754115:+],Conserved region 2,1798,1816,yes,yes†,n/d,,n/d,2 / 3,
hsa-miR-1,[hg19:6:43753795-43753816:+],Conserved region 2,1496,1517,yes,yes†,,,,2 / 5,
hsa-miR-103,[hg19:6:43752559-43752581:+],Conserved region 1,260,282,yes,,yes,,,2 / 5,
hsa-miR-107,[hg19:6:43752559-43752581:+],Conserved region 1,260,282,yes,,yes,,,2 / 5,
hsa-miR-125a-3p,[hg19:6:43753172-43753193:+],Non-conserved region,873,894,yes,yes,,,,2 / 5,
hsa-miR-126,[hg19:6:43753511-43753531:+],Conserved region 2,1212,1232,yes,,,,yes,2 / 5,"Liu et al., Lung Cancer, 2009; Zhu et al., Mol Cell Biochem, 2012; Sasahira et al., Br J Cancer, 2012"
hsa-miR-146b-3p,[hg19:6:43753452-43753472:+],Non-conserved region,1153,1173,yes,yes,,,,2 / 5,
hsa-miR-150,[hg19:6:43752783-43752805:+],Conserved region 1,484,506,yes,yes,,,,2 / 5,
hsa-miR-17,[hg19:6:43752463-43752483:+],Conserved region 1,164,184,yes,yes†,,,,2 / 5,"Hua et al., PLoS ONE, 2006; Ye et al., PLoS ONE, 2008; Lei et al., PLoS ONE, 2009"
hsa-miR-199a-5p,[hg19:6:43752753-43752772:+],Conserved region 1,454,473,yes,yes†,,,,2 / 5,
hsa-miR-199b-5p,[hg19:6:43752750-43752772:+],Conserved region 1,451,473,yes,yes†,,,,2 / 5,
hsa-miR-200b,[hg19:6:43753583-43753604:+],Conserved region 2,1284,1305,yes,yes†,,,,2 / 5,"McArthur et al., Diabetes, 2011; Choi et al., Mol Cells, 2011"
hsa-miR-200c,[hg19:6:43753582-43753604:+],Conserved region 2,1283,1305,yes,yes†,,,,2 / 5,"Panda et al., Reprod Sci, 2012; Chuang et al., Endocr Relat Cancer, 2012"
hsa-miR-203,[hg19:6:43753604-43753625:+],Conserved region 2,1305,1326,yes,yes†,,,,2 / 5,
hsa-miR-20b,[hg19:6:43752463-43752483:+],Conserved region 1,164,184,yes,yes†,,,,2 / 5,"Hua et al., PLoS ONE, 2006; Ye et al., PLoS ONE, 2008; "
hsa-miR-300,[hg19:6:43753665-43753686:+],Conserved region 2,1366,1387,yes,yes,,,,2 / 5,
hsa-miR-300,[hg19:6:43753852-43753874:+],Conserved region 2,1553,1575,yes,yes,,,,2 / 5,
hsa-miR-302a,[hg19:6:43752460-43752482:+],Conserved region 1,161,183,yes,yes†,,,,2 / 5,
hsa-miR-302b,[hg19:6:43752460-43752482:+],Conserved region 1,161,183,yes,yes†,,,,2 / 5,
hsa-miR-302c,[hg19:6:43752456-43752482:+],Conserved region 1,157,183,yes,yes†,,,,2 / 5,
hsa-miR-329,[hg19:6:43753861-43753882:+],Conserved region 2,1562,1583,yes,yes,,,,2 / 5,
hsa-miR-342-3p,[hg19:6:43753387-43753409:+],Non-conserved region,1088,1110,yes,yes,,,,2 / 5,
hsa-miR-362-3p,[hg19:6:43753861-43753882:+],Conserved region 2,1562,1583,yes,yes,,,,2 / 5,
hsa-miR-369-3p,[hg19:6:43752657-43752676:+],Conserved region 1,358,377,yes,yes,,,,2 / 5,
hsa-miR-373,[hg19:6:43752462-43752482:+],Conserved region 1,163,183,yes,yes†,,,,2 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-381,[hg19:6:43753665-43753686:+],Conserved region 2,1366,1387,yes,yes,,,,2 / 5,
hsa-miR-381,[hg19:6:43753852-43753874:+],Conserved region 2,1553,1575,yes,yes,,,,2 / 5,
hsa-miR-383,[hg19:6:43754199-43754220:+],Conserved region 2,1900,1921,yes,yes†,,,,2 / 5,
hsa-miR-410,[hg19:6:43752643-43752663:+],Conserved region 1,344,364,yes,yes,,,,2 / 5,
hsa-miR-410,[hg19:6:43752658-43752678:+],Conserved region 1,359,379,yes,yes,,,,2 / 5,
hsa-miR-410,[hg19:6:43752689-43752709:+],Conserved region 1,390,410,yes,yes,,,,2 / 5,
hsa-miR-423-3p,[hg19:6:43752572-43752594:+],Conserved region 1,273,295,yes,yes,,,,2 / 5,
hsa-miR-429,[hg19:6:43753585-43753604:+],Conserved region 2,1286,1305,yes,yes†,,,,2 / 5,
hsa-miR-486-5p,[hg19:6:43753016-43753040:+],Non-conserved region,717,741,yes,yes,,,,2 / 5,
hsa-miR-493,[hg19:6:43753399-43753421:+],Non-conserved region,1100,1122,yes,yes,,,,2 / 5,
hsa-miR-494,[hg19:6:43753681-43753702:+],Conserved region 2,1382,1403,yes,yes,,,,2 / 5,
hsa-miR-495,[hg19:6:43754007-43754028:+],Conserved region 2,1708,1729,yes,yes,,,,2 / 5,
hsa-miR-497,[hg19:6:43752562-43752582:+],Conserved region 1,263,283,yes,yes†,,,,2 / 5,
hsa-miR-503,[hg19:6:43752560-43752582:+],Conserved region 1,261,283,yes,yes†,,,,2 / 5,
hsa-miR-511,[hg19:6:43753005-43753025:+],Non-conserved region,706,726,yes,yes,,,,2 / 5,
hsa-miR-520b,[hg19:6:43752453-43752481:+]$,Conserved region 1,154,182,,yes†,yes,,,2 / 5,
hsa-miR-520c-3p,[hg19:6:43752453-43752481:+]$,Conserved region 1,154,182,,yes†,yes,,,2 / 5,
hsa-miR-520d-3p,[hg19:6:43752453-43752481:+]$,Conserved region 1,154,182,,yes†,yes,,,2 / 5,
hsa-miR-520g,[hg19:6:43752462-43752484:+],Conserved region 1,163,185,yes,yes†,,,,2 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-520h,[hg19:6:43752464-43752484:+],Conserved region 1,165,185,yes,yes†,,,,2 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-543,[hg19:6:43752734-43752755:+],Conserved region 1,435,456,yes,yes†,,,,2 / 5,
hsa-miR-548a-3p,[hg19:6:43752594-43752614:+],Conserved region 1,295,315,yes,yes,,,,2 / 5,
hsa-miR-548a-3p,[hg19:6:43752929-43752957:+]$,Non-conserved region,630,658,,yes,yes,,,2 / 5,
hsa-miR-548c-3p,[hg19:6:43754125-43754146:+],Conserved region 2,1826,1847,yes,yes†,,,,2 / 5,
hsa-miR-556-3p,[hg19:6:43754044-43754065:+],Conserved region 2,1745,1766,yes,yes†,,,,2 / 5,
hsa-miR-567,[hg19:6:43752629-43752651:+],Conserved region 1,330,352,yes,yes,,,,2 / 5,"Jafarifar et al., EMBO J, 2011"
hsa-miR-569,[hg19:6:43752723-43752743:+],Conserved region 1,424,444,yes,yes,,,,2 / 5,
hsa-miR-569,[hg19:6:43754067-43754087:+],Conserved region 2,1768,1788,yes,yes†,,,,2 / 5,
hsa-miR-576-3p,[hg19:6:43753826-43753843:+],Conserved region 2,1527,1544,yes,yes,,,,2 / 5,
hsa-miR-590-3p,[hg19:6:43753674-43753694:+],Conserved region 2,1375,1395,yes,yes,,,,2 / 5,
hsa-miR-603,[hg19:6:43753861-43753882:+],Conserved region 2,1562,1583,yes,yes,,,,2 / 5,
hsa-miR-607,[hg19:6:43753802-43753822:+],Conserved region 2,1503,1523,yes,yes,,,,2 / 5,
hsa-miR-612,[hg19:6:43753187-43753209:+],Non-conserved region,888,910,yes,yes,,,,2 / 5,
hsa-miR-631,[hg19:6:43752988-43753008:+],Non-conserved region,689,709,yes,yes,,,,2 / 5,
hsa-miR-637,[hg19:6:43753362-43753385:+],Non-conserved region,1063,1086,yes,yes,,,,2 / 5,
hsa-miR-638,[hg19:6:43753771-43753794:+],Conserved region 2,1472,1495,yes,yes,,,,2 / 5,
hsa-miR-646,[hg19:6:43752564-43752582:+],Conserved region 1,265,283,yes,yes†,,,,2 / 5,
hsa-miR-656,[hg19:6:43753596-43753616:+],Conserved region 2,1297,1317,yes,,yes,,,2 / 5,
hsa-miR-656,[hg19:6:43754003-43754023:+],Conserved region 2,1704,1724,yes,,yes,,,2 / 5,
hsa-miR-874,[hg19:6:43752927-43752933:+]+,Non-conserved region,628,634,,yes,,yes,,2 / 5,
hsa-miR-874,[hg19:6:43753466-43753472:+]+,Non-conserved region,1167,1173,,yes,,yes,,2 / 5,
hsa-miR-885-3p,[hg19:6:43752377-43752398:+],Conserved region 1,78,99,yes,yes,,,,2 / 5,
hsa-miR-920,[hg19:6:43753251-43753279:+]$,Non-conserved region,952,980,,yes,yes,,,2 / 5,
hsa-miR-93,[hg19:6:43752461-43752483:+],Conserved region 1,162,184,yes,yes†,,,,2 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-942,[hg19:6:43753220-43753242:+],Non-conserved region,921,943,yes,yes,,,,2 / 5,
hsa-miR-103-2*,[hg19:6:43753240-43753263:+],Non-conserved region,941,964,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-205*,[hg19:6:43752426-43752451:+],Conserved region 1,127,152,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-2115*,[hg19:6:43753901-43753923:+],Conserved region 2,1602,1624,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-2115*,[hg19:6:43754198-43754219:+],Conserved region 2,1899,1920,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-2116,[hg19:6:43753943-43753962:+],Conserved region 2,1644,1663,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-2117,[hg19:6:43753964-43753984:+],Conserved region 2,1665,1685,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-224*,[hg19:6:43754011-43754035:+],Conserved region 2,1712,1736,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-2355,[hg19:6:43754053-43754075:+],Conserved region 2,1754,1776,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3065-3p,[hg19:6:43754027-43754049:+],Conserved region 2,1728,1750,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3065-5p,[hg19:6:43754006-43754029:+],Conserved region 2,1707,1730,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3074,[hg19:6:43753902-43753925:+],Conserved region 2,1603,1626,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3118,[hg19:6:43753710-43753734:+],Conserved region 2,1411,1435,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3119,[hg19:6:43754173-43754192:+],Conserved region 2,1874,1893,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3120,[hg19:6:43753073-43753093:+],Non-conserved region,774,794,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3121,[hg19:6:43752682-43752704:+],Conserved region 1,383,405,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3121,[hg19:6:43752712-43752733:+],Conserved region 1,413,434,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3121,[hg19:6:43753611-43753632:+],Conserved region 2,1312,1333,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3121,[hg19:6:43753650-43753670:+],Conserved region 2,1351,1371,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3123,[hg19:6:43752714-43752731:+],Conserved region 1,415,432,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3126-5p,[hg19:6:43752525-43752545:+],Conserved region 1,226,246,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3129,[hg19:6:43754029-43754052:+],Conserved region 2,1730,1753,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3133,[hg19:6:43752710-43752731:+],Conserved region 1,411,432,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3133,[hg19:6:43753624-43753647:+],Conserved region 2,1325,1348,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3133,[hg19:6:43753929-43753950:+],Conserved region 2,1630,1651,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3140,[hg19:6:43754170-43754191:+],Conserved region 2,1871,1892,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3143,[hg19:6:43752736-43752756:+],Conserved region 1,437,457,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3143,[hg19:6:43753995-43754019:+],Conserved region 2,1696,1720,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3145,[hg19:6:43752669-43752697:+],Conserved region 1,370,398,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3145,[hg19:6:43752698-43752721:+],Conserved region 1,399,422,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3145,[hg19:6:43753517-43753542:+],Conserved region 2,1218,1243,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3148,[hg19:6:43752857-43752879:+],Non-conserved region,558,580,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3149,[hg19:6:43752635-43752657:+],Conserved region 1,336,358,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3149,[hg19:6:43753829-43753851:+],Conserved region 2,1530,1552,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3149,[hg19:6:43753973-43753995:+],Conserved region 2,1674,1696,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3150,[hg19:6:43753786-43753805:+],Conserved region 2,1487,1506,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3152,[hg19:6:43753751-43753771:+],Conserved region 2,1452,1472,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3154,[hg19:6:43753527-43753548:+],Conserved region 2,1228,1249,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3160,[hg19:6:43753756-43753778:+],Conserved region 2,1457,1479,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3161,[hg19:6:43754010-43754032:+],Conserved region 2,1711,1733,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3163,[hg19:6:43752548-43752569:+],Conserved region 1,249,270,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3163,[hg19:6:43752686-43752707:+],Conserved region 1,387,408,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3163,[hg19:6:43753500-43753521:+],Conserved region 2,1201,1222,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3163,[hg19:6:43753930-43753952:+],Conserved region 2,1631,1653,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3163,[hg19:6:43753998-43754020:+],Conserved region 2,1699,1721,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3163,[hg19:6:43754177-43754198:+],Conserved region 2,1878,1899,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3169,[hg19:6:43752411-43752432:+],Conserved region 1,112,133,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3171,[hg19:6:43752636-43752658:+],Conserved region 1,337,359,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3171,[hg19:6:43753817-43753842:+],Conserved region 2,1518,1543,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3173,[hg19:6:43753986-43754008:+],Conserved region 2,1687,1709,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3179,[hg19:6:43753299-43753320:+],Non-conserved region,1000,1021,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-3201,[hg19:6:43753527-43753543:+],Conserved region 2,1228,1244,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-323b-3p,[hg19:6:43754023-43754044:+],Conserved region 2,1724,1745,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-323b-5p,[hg19:6:43752618-43752640:+],Conserved region 1,319,341,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4251,[hg19:6:43753584-43753600:+],Conserved region 2,1285,1301,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4261,[hg19:6:43753688-43753703:+],Conserved region 2,1389,1404,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4263,[hg19:6:43753540-43753557:+],Conserved region 2,1241,1258,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4270,[hg19:6:43753171-43753193:+],Non-conserved region,872,894,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4270,[hg19:6:43753700-43753719:+],Conserved region 2,1401,1420,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4271,[hg19:6:43753362-43753381:+],Non-conserved region,1063,1082,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4274,[hg19:6:43752770-43752787:+],Conserved region 1,471,488,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4276,[hg19:6:43752756-43752772:+],Conserved region 1,457,473,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4279,[hg19:6:43752450-43752465:+],Conserved region 1,151,166,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4279,[hg19:6:43752832-43752847:+],Non-conserved region,533,548,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4282,[hg19:6:43754001-43754018:+],Conserved region 2,1702,1719,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4286,[hg19:6:43754058-43754074:+],Conserved region 2,1759,1775,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4298,[hg19:6:43752860-43752881:+],Non-conserved region,561,582,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4299,[hg19:6:43752340-43752356:+],Conserved region 1,41,57,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4306,[hg19:6:43753700-43753716:+],Conserved region 2,1401,1417,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4306,[hg19:6:43753990-43754006:+],Conserved region 2,1691,1707,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4307,[hg19:6:43752703-43752720:+],Conserved region 1,404,421,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4307,[hg19:6:43753547-43753567:+],Conserved region 2,1248,1268,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4307,[hg19:6:43753946-43753964:+],Conserved region 2,1647,1665,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4307,[hg19:6:43754175-43754193:+],Conserved region 2,1876,1894,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4311,[hg19:6:43752717-43752733:+],Conserved region 1,418,434,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-4319,[hg19:6:43752315-43752331:+],Conserved region 1,16,32,yes,n/d,n/d,n/d,n/d,1 / 1,
