Appr Gene (m),MGI ID,Appr Gene (h),HGNC ID,Ensembl (m),Ensembl (h),human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Permutation 0.01),t-test p value
Grin1,MGI:95819,GRIN1,HGNC:4584,ENSMUSG00000026959,ENSG00000176884,2090,2247,3.41243,3.695313,3.017684,-0.08496168,0.5034416,0.8914999,0.43665994,3.3751423333333332,7.666044609393911,+,0.00104508647240603
Rimbp2,MGI:2443235,RIMBP2,HGNC:30339,ENSMUSG00000029420,ENSG00000060709,1290,2325,0.6467454,0.4456115,0.2922315,-2.148615,-2.087657,-3.11588,-2.4507173333333334,0.46152946666666667,7.527896537622803,+,0.00112128146152133
Dlg3,MGI:1888986,DLG3,HGNC:2902,ENSMUSG00000000881,ENSG00000082458,744,2135,4.411523,4.384548,4.550463,0.7889601,2.044757,1.814271,1.5493293666666668,4.448844666666666,7.4617565964136325,+,0.00173705812505159
Cacnb4,MGI:103301,CACNB4,HGNC:1404,ENSMUSG00000017412,ENSG00000182389,397,2148,0.9956837,1.386633,1.222118,-2.522006,-1.562215,-0.9045716,-1.6629308666666667,1.2014782333333334,7.282375337657507,+,0.00405498704097696
Slc8a2,MGI:107996,SLC8A2,HGNC:11069,ENSMUSG00000030376,ENSG00000118160,365,991,1.563795,1.040727,1.286417,-2.195617,-0.8032331,-1.661608,-1.5534860333333331,1.2969796666666669,7.212331455967885,+,0.00275203409360893
Aifm3,MGI:1919418,AIFM3,HGNC:26398,ENSMUSG00000022763,ENSG00000183773,1041,1392,-0.4007679,-0.299269,-0.06069941,-2.06582,-3.725085,-3.367843,-3.052916,-0.25357877,6.9612058135309995,+,0.00552747289300833
Fbxo41,MGI:1261912,FBXO41,HGNC:29409,ENSMUSG00000047013,ENSG00000163013,1567,1851,3.78358,3.594688,3.399117,0.134786,1.208857,1.138213,0.8272853333333333,3.592461666666667,6.79831086555642,+,0.0016139121287672
Shank3,MGI:1930016,SHANK3,HGNC:14294,ENSMUSG00000022623,ENSG00000099882,627,1677,4.524333,4.74373,4.25078,0.9551139,2.215051,2.211288,1.793817633333333,4.506281,6.554398395035211,+,0.00360188439166564
Erc1,MGI:2151013,ERC1,HGNC:17072,ENSMUSG00000030172,ENSG00000082805,1230,294,1.144515,0.7886633,0.6745005,-1.695364,-1.84347,-1.910207,-1.8163470000000002,0.8692262666666665,6.433363767796833,+,6.53258002736853e-05
Mark2,MGI:99638,MARK2,HGNC:3332,ENSMUSG00000024969,ENSG00000072518,2159,2092,1.550021,1.434285,2.018631,-1.121128,-0.5363457,-1.34833,-1.0019345666666666,1.6676456666666668,6.3624403845254465,+,0.000889069829884726
Gm88,MGI:2684934,C6orf154,HGNC:21375,ENSMUSG00000071073,ENSG00000204052,1254,1336,3.230584,3.966827,3.171315,0.7513164,1.466089,0.173381,0.7969288,3.4562419999999996,6.31732239562224,+,0.00420665015213704
Dlg2,MGI:1344351,DLG2,HGNC:2901,ENSMUSG00000052572,ENSG00000150672,2036,1137,5.03284,5.194759,5.489608,1.951841,3.162906,2.680207,2.5983179999999995,5.239069000000001,6.236562256965465,+,0.002176547043226
Srcin1,MGI:1933179,SRCIN1,HGNC:29506,ENSMUSG00000038453,ENSG00000017373,1900,2389,5.448437,5.318789,5.023972,2.669449,2.451057,2.818823,2.646443,5.263732666666667,6.135962503593659,+,9.19799471127437e-05
Btbd17,MGI:1919264,BTBD17,HGNC:33758,ENSMUSG00000000202,ENSG00000204347,1824,343,1.771101,2.213814,2.395177,-0.7314947,-1.065578,0.3883132,-0.46958649999999996,2.126697333333333,6.047269325573987,+,0.00553763901466134
Syngap1,MGI:3039785,SYNGAP1,HGNC:11497,ENSMUSG00000067629,ENSG00000197283,1258,2202,5.821656,6.072604,6.050897,3.027092,3.605129,3.638191,3.4234706666666668,5.981718999999999,5.889921202685731,+,0.000280791780736925
Ntm,MGI:2446259,NTM,HGNC:17941,ENSMUSG00000059974,ENSG00000182667,2031,1780,5.526122,5.316056,5.207022,2.993316,2.739732,2.763784,2.8322773333333333,5.349733333333333,5.7257155503095465,+,3.44158482359058e-05
Gfra2,MGI:1195462,GFRA2,HGNC:4244,ENSMUSG00000022103,ENSG00000168546,414,252,0.01331807,0.2895505,0.09070364,-1.569062,-2.698314,-2.784581,-2.350652333333333,0.13119073666666667,5.586106464810619,+,0.00343669468376091
Hsp90ab1,MGI:96247,HSP90AB1,HGNC:5258,ENSMUSG00000023944,ENSG00000205527,1978,1194,1.650151,1.353385,1.810236,-1.183732,-0.1021026,-1.290623,-0.8588192000000001,1.6045906666666667,5.515187242602053,+,0.00361022124017718
Dlg1,MGI:107231,DLG1,HGNC:2900,ENSMUSG00000022770,ENSG00000075711,959,1834,3.015833,2.870805,2.839462,0.4329333,0.35531,0.7341948,0.5074793666666667,2.9086999999999996,5.282499162138997,+,4.70796165010377e-05
Palm,MGI:1261814,PALM,HGNC:8594,ENSMUSG00000035863,ENSG00000099864,1679,656,0.8285545,0.5384586,1.618078,-1.357508,-1.455109,-1.397617,-1.4034113333333333,0.9950303666666667,5.2723337539556745,+,0.00177278360261624
Elfn2,MGI:3608416,ELFN2,HGNC:29396,ENSMUSG00000043460,ENSG00000166897,1537,2061,0.3448508,0.3136859,0.05347419,-2.300406,-2.128247,-2.050654,-2.1597690000000003,0.23733696333333332,5.267454559010162,+,3.49403912969897e-05
Adam23,MGI:1345162,ADAM23,HGNC:202,ENSMUSG00000025964,ENSG00000114948,689,651,0.03608203,0.7079461,0.3598857,-1.875588,-2.248829,-1.942232,-2.022216333333333,0.3679712766666667,5.242255281024845,+,0.000448254542421067
Ppp1cc,MGI:104872,PPP1CC,HGNC:9283,ENSMUSG00000004455,ENSG00000186298,198,1169,2.029794,2.073102,2.368735,-0.8029711,-0.100633,0.2077302,-0.23195796666666668,2.157210333333333,5.238552768814678,+,0.00166896859810708
Grin2a,MGI:95820,GRIN2A,HGNC:4585,ENSMUSG00000059003,ENSG00000183454,951,309,1.027461,0.9530963,1.121045,-1.309802,-1.008765,-1.562811,-1.2937926666666666,1.0338674333333333,5.019905132500887,+,0.000154931968137497
skt,MGI:98314,NOT_FOUND,NOT_FOUND,NOT_FOUND,ENSG00000120549,1118,1847,1.517856,1.440881,1.578557,-1.150067,-0.5474933,-0.7243618,-0.8073073666666666,1.5124313333333335,4.992417890190773,+,0.000224035390161712
Gria2,MGI:95809,GRIA2,HGNC:4572,ENSMUSG00000033981,ENSG00000120251,1419,2113,4.733923,4.93348,5.390646,2.234548,3.300808,2.734664,2.7566733333333335,5.019349666666667,4.798808802500079,+,0.00341613582026177
Strn,MGI:1333757,STRN,HGNC:11424,ENSMUSG00000024077,ENSG00000115808,498,1679,0.3555487,0.04228977,0.06376256,-1.890837,-2.130708,-1.933405,-1.9849833333333333,0.15386701,4.404109512373864,+,6.87957646610156e-05
Sorbs2,MGI:1924574,SORBS2,HGNC:24098,ENSMUSG00000031626,ENSG00000154556,2437,2217,1.005265,1.027027,1.034438,-1.581777,-0.4318524,-1.267684,-1.0937711333333333,1.0222433333333332,4.334947335972223,+,0.00351565546696389
Gria3,MGI:95810,GRIA3,HGNC:4573,ENSMUSG00000001986,ENSG00000125675,1424,741,3.702497,3.939373,4.333946,1.354179,2.393162,1.923866,1.8904023333333333,3.9919386666666665,4.291661630023676,+,0.00396852317874572
Erc2,MGI:1098749,ERC2,HGNC:31922,ENSMUSG00000040640,ENSG00000187672,2095,1955,4.479651,4.503298,3.811908,1.692635,2.338616,2.615028,2.2154263333333333,4.2649523333333335,4.139699366380967,+,0.00447096478270735
D430041D05Rik,MGI:2181743,C11orf41,HGNC:24836,ENSMUSG00000068373,ENSG00000110427,2352,2243,2.40054,2.162378,2.285214,0.2016464,0.2325534,0.3821425,0.2721141,2.2827106666666666,4.029488083359989,+,2.22476500202188e-05
Gphn,MGI:109602,GPHN,HGNC:15465,ENSMUSG00000047454,ENSG00000171723,532,2310,2.540854,2.394878,2.510275,0.05442166,0.9187334,0.5319292,0.5016947533333334,2.4820023333333334,3.9457719598233822,+,0.00145750741024218
Unc13a,MGI:3051532,UNC13A,HGNC:23150,ENSMUSG00000074246,ENSG00000130477,1186,1801,0.715267,0.9494001,0.4464435,-1.513609,-1.055473,-1.25514,-1.2747406666666665,0.7037035333333334,3.9406789039968944,+,0.000549787390811287
Gabbr2,MGI:2386030,GABBR2,HGNC:4507,ENSMUSG00000039809,ENSG00000136928,867,1839,2.651237,2.586248,2.76703,0.4321046,0.8998462,0.8741776,0.7353761333333333,2.6681716666666664,3.8179429183689026,+,0.000274373041258676
Nrxn3,MGI:1096389,NRXN3,HGNC:8010,ENSMUSG00000066392,ENSG00000021645,1359,1189,-0.5999378,-1.11545,-0.5254906,-2.603161,-2.586347,-2.828087,-2.6725316666666665,-0.7469594666666667,3.798874890311595,+,0.000665963872302134
Lphn3,MGI:2441950,LPHN3,HGNC:20974,ENSMUSG00000037605,ENSG00000150471,1177,1846,-0.5840172,-1.252865,-0.9263863,-3.418801,-2.649998,-2.440677,-2.836492,-0.9210894999999999,3.772190406845644,+,0.00568357577528824
Cit,MGI:105313,CIT,HGNC:1985,ENSMUSG00000029516,ENSG00000122966,2174,1307,1.815309,2.347851,2.451071,-0.2238497,0.6126218,0.5096362,0.2994694333333333,2.204743666666667,3.745800939127972,+,0.00441269986682697
Homer1,MGI:1347345,HOMER1,HGNC:17512,ENSMUSG00000007617,ENSG00000152413,131,1759,5.502222,5.350489,5.964272,3.309615,3.604062,4.25568,3.723119,5.6056610000000004,3.687241728874079,+,0.00492753114147912
Rasal2,MGI:2443881,RASAL2,HGNC:9874,ENSMUSG00000070565,ENSG00000075391,237,1807,-2.142855,-2.047661,-1.919949,-3.904573,-4.185986,-3.649458,-3.9133389999999992,-2.036821666666667,3.671875984383477,+,0.00036452811940224
Fxr2,MGI:1346074,FXR2,HGNC:4024,ENSMUSG00000018765,ENSG00000129245,537,2179,-0.4834469,-0.08776885,-0.04688472,-1.761655,-2.294222,-2.175915,-2.077264,-0.20603349,3.658444847951272,+,0.000928938344555159
Agap2,MGI:3580016,AGAP2,HGNC:16921,ENSMUSG00000025422,ENSG00000135439,1375,1671,2.065425,2.246975,2.030633,-0.0536292,0.2558064,0.5972873,0.2664881666666667,2.1143443333333334,3.5996488246851395,+,0.000756764142714509
Lmtk3,MGI:3039582,LMTK3,HGNC:19295,ENSMUSG00000062044,ENSG00000142235,1140,2065,-0.1611232,-0.07316582,0.4217329,-1.504061,-1.573673,-2.17222,-1.749984666666667,0.06248129333333333,3.512421445133153,+,0.00289914122856588
Dlgap1,MGI:1346065,DLGAP1,HGNC:2905,ENSMUSG00000003279,ENSG00000170579,691,2169,2.606014,3.020283,3.269557,1.188967,1.625624,0.6876398,1.1674102666666666,2.965284666666667,3.4770755154714506,+,0.00569518021609804
Actn1,MGI:2137706,ACTN1,HGNC:163,ENSMUSG00000015143,ENSG00000072110,2268,1720,4.866932,5.066751,5.665684,3.143549,3.683537,3.390005,3.405697,5.199789,3.4679713979504503,+,0.00330789757965023
Prosapip1,MGI:2656976,NOT_FOUND,NOT_FOUND,ENSMUSG00000037703,ENSG00000088899,920,2174,-0.4571756,-0.1157602,-0.1679948,-1.841863,-2.134818,-2.103967,-2.026882666666667,-0.24697686666666666,3.4340375147902873,+,0.000227379804569741
Rims1,MGI:2152971,RIMS1,HGNC:17282,ENSMUSG00000041670,ENSG00000079841,1823,2308,2.012011,1.323428,1.502135,-0.3153573,-0.4271334,0.2677387,-0.15825066666666668,1.6125246666666666,3.41237295223965,+,0.00403612457440352
Yes1,MGI:99147,YES1,HGNC:12841,ENSMUSG00000014932,ENSG00000176105,482,76,-0.3348834,0.3187086,0.2483726,-1.949396,-1.840111,-1.279722,-1.689743,0.07739926666666667,3.4037905551824643,+,0.00381607524531813
Prkar1a,MGI:104878,PRKAR1A,HGNC:9388,ENSMUSG00000020612,ENSG00000108946,683,2286,2.93603,3.220845,3.008042,1.807846,0.9699117,1.335987,1.3712482333333333,3.0549723333333336,3.2125615602318836,+,0.00281322866123208
Itsn2,MGI:1338049,ITSN2,HGNC:6184,ENSMUSG00000020640,ENSG00000198399,1910,661,-1.815619,-2.419165,-2.629379,-3.939735,-4.003286,-3.924296,-3.9557723333333334,-2.2880543333333336,3.1771165166472093,+,0.00243688588893439
Fam18a,MGI:3665441,FAM81A,HGNC:28379,ENSMUSG00000050908,ENSG00000166676,1548,2043,1.497862,1.945648,2.285399,0.1030521,0.5028311,0.2135645,0.27314923333333335,1.9096363333333333,3.1090786223533327,+,0.00313340798774866
Cdkl5,MGI:1278336,CDKL5,HGNC:11411,ENSMUSG00000031292,ENSG00000008086,2252,1738,-0.5037702,-0.8396914,-0.7718025,-2.633194,-1.896277,-2.357881,-2.295784,-0.7050880333333334,3.0119461293118674,+,0.00261342703410627
Ly6h,MGI:1346030,LY6H,HGNC:6728,ENSMUSG00000022577,ENSG00000176956,509,834,-1.077729,-0.9194946,-0.9495287,-2.74601,-2.505927,-2.145538,-2.465825,-0.9822507666666667,2.7964067710173377,+,0.00121000750078049
Aak1,MGI:1098687,AAK1,HGNC:19679,ENSMUSG00000057230,ENSG00000115977,2421,1690,2.669693,2.173668,2.792243,0.9143792,0.8927187,1.461448,1.0895153000000002,2.5452013333333334,2.742869594927652,+,0.00537391069177318
Iqsec2,MGI:3528396,IQSEC2,HGNC:29059,ENSMUSG00000041115,ENSG00000124313,2370,2273,3.170411,3.405101,3.468722,1.587955,2.078298,2.110437,1.9255633333333335,3.3480779999999997,2.6805232835130672,+,0.00176576501399505
Pkp4,MGI:109281,PKP4,HGNC:9026,ENSMUSG00000026991,ENSG00000144283,2257,2071,1.838085,1.797068,1.989699,0.3525578,0.5330415,0.4948899,0.4601630666666667,1.8749506666666667,2.666204794721708,+,6.09494741174775e-05
Numbl,MGI:894702,NUMBL,HGNC:8061,ENSMUSG00000063160,ENSG00000105245,104,1330,0.7093779,0.8351713,0.6517075,-0.8578386,-0.3206669,-0.5803074,-0.5862709666666667,0.7320855666666667,2.493818609983196,+,0.00130832479969711
Syt7,MGI:1859545,SYT7,HGNC:11514,ENSMUSG00000024743,ENSG00000011347,446,1198,2.813169,2.575828,2.333029,1.080588,1.354013,1.39089,1.2751636666666666,2.5740086666666664,2.4603183440800565,+,0.0015651318524364
Brsk1,MGI:2685946,BRSK1,HGNC:18994,ENSMUSG00000035390,ENSG00000160469,1145,2087,0.06416383,0.0893155,0.6282567,-1.214929,-0.7454501,-1.133324,-1.0312343666666666,0.2605786766666667,2.4483554855601777,+,0.005268360707312
Myo5a,MGI:105976,MYO5A,HGNC:7602,ENSMUSG00000034593,ENSG00000197535,2374,2410,5.261802,5.595531,5.109996,3.934256,4.132514,4.383206,4.149992,5.322443,2.2539429505779727,+,0.00374434301473583
Opcml,MGI:97397,OPCML,HGNC:8143,ENSMUSG00000062257,ENSG00000183715,74,1979,4.87765,4.846667,4.926272,3.761687,3.790676,3.647379,3.7332473333333334,4.883529666666667,2.219573268915114,+,2.03214994801446e-05
Sept4,MGI:1270156,SEPT4,HGNC:9165,ENSMUSG00000020486,ENSG00000181013,406,2170,1.19287,0.9777098,1.010955,0.01945974,-0.2538237,-0.0144186,-0.08292751999999999,1.0605116,2.209069977218264,+,0.00046588350617411
Exoc2,MGI:1913732,EXOC2,HGNC:24968,ENSMUSG00000021357,ENSG00000112685,2279,2186,0.2481848,-0.0768734,0.2116373,-1.119238,-0.9576287,-0.8513767,-0.9760811333333334,0.1276495666666667,2.149097148046112,+,0.0010235438469349
Gnb2,MGI:95784,GNB2,HGNC:4398,ENSMUSG00000029711,ENSG00000130427,124,962,6.250762,6.612027,6.790447,5.51695,5.293348,5.536857,5.449051666666667,6.551078666666666,2.1465607452392597,+,0.00338188492653062
Mink1,MGI:1355329,MINK1,HGNC:17565,ENSMUSG00000020827,ENSG00000141503,1399,528,0.9308934,0.9622037,0.8713177,-0.3050349,0.03462116,-0.008082133,-0.09283195766666667,0.9214716,2.019927563726023,+,0.000771127305288708
